ρ,p,n,snr,MSE
0.3,20.0,200.0,1.0,0.18941716309367884
0.3,21.0,200.0,1.0,0.2331488796909909
0.3,23.0,200.0,1.0,0.27065759041153675
0.3,25.0,200.0,1.0,0.27250068564715085
0.3,27.0,200.0,1.0,0.2820751214896223
0.3,29.0,200.0,1.0,0.31281927434397094
0.3,31.0,200.0,1.0,0.32994996899755286
0.3,34.0,200.0,1.0,0.33565352516524044
0.3,36.0,200.0,1.0,0.3367950486443336
0.3,39.0,200.0,1.0,0.3725981569815303
0.3,43.0,200.0,1.0,0.39483277959912844
0.3,46.0,200.0,1.0,0.4402537719064736
0.3,50.0,200.0,1.0,0.4660229763583089
0.3,54.0,200.0,1.0,0.5111515669470347
0.3,58.0,200.0,1.0,0.5842480748822938
0.3,63.0,200.0,1.0,0.6223198414234808
0.3,68.0,200.0,1.0,0.8245791059354415
0.3,73.0,200.0,1.0,0.8144741690012696
0.3,79.0,200.0,1.0,0.8696071251081107
0.3,85.0,200.0,1.0,1.0913398350685126
0.3,92.0,200.0,1.0,1.2363830752353993
0.3,100.0,200.0,1.0,1.2748837527421348
0.3,108.0,200.0,1.0,1.4351442058197124
0.3,116.0,200.0,1.0,1.607074304738739
0.3,126.0,200.0,1.0,1.9048729995794034
0.3,136.0,200.0,1.0,2.4725208583810514
0.3,147.0,200.0,1.0,3.4692737524026627
0.3,158.0,200.0,1.0,3.6255750469822567
0.3,171.0,200.0,1.0,5.859844050725726
0.3,185.0,200.0,1.0,13.02335695347796
0.3,200.0,200.0,1.0,23.918564043019277
0.3,216.0,200.0,1.0,6.649806226145106
0.3,234.0,200.0,1.0,5.038896310737329
0.3,254.0,200.0,1.0,4.367515726429132
0.3,275.0,200.0,1.0,3.574283276475336
0.3,297.0,200.0,1.0,3.1335553481373957
0.3,322.0,200.0,1.0,3.017349864908127
0.3,348.0,200.0,1.0,2.599410148587473
0.3,377.0,200.0,1.0,2.5770605922517165
0.3,408.0,200.0,1.0,2.4983868163614407
0.3,442.0,200.0,1.0,2.4106384831961565
0.3,479.0,200.0,1.0,2.4290165516470386
0.3,518.0,200.0,1.0,2.365137804644787
0.3,561.0,200.0,1.0,2.3244618892276687
0.3,608.0,200.0,1.0,2.31775929482623
0.3,658.0,200.0,1.0,2.266760804023605
0.3,712.0,200.0,1.0,2.1486908718717177
0.3,771.0,200.0,1.0,2.1224210006588713
0.3,835.0,200.0,1.0,2.1600861930458573
0.3,904.0,200.0,1.0,2.0782154810853983
0.3,979.0,200.0,1.0,1.9866131492448083
0.3,1059.0,200.0,1.0,2.0354686103551356
0.3,1147.0,200.0,1.0,2.146289435746074
0.3,1242.0,200.0,1.0,2.1546684836039365
0.3,1344.0,200.0,1.0,2.190920857544667
0.3,1455.0,200.0,1.0,2.268509527902625
0.3,1576.0,200.0,1.0,2.2117020804162277
0.3,1706.0,200.0,1.0,2.2114937553619023
0.3,1847.0,200.0,1.0,2.172894620419806
0.3,2000.0,200.0,1.0,2.1636697801146414
0.3,20.0,200.0,2.333333333333333,0.18941716309367906
0.3,21.0,200.0,2.333333333333333,0.23314887969099118
0.3,23.0,200.0,2.333333333333333,0.27065759041153636
0.3,25.0,200.0,2.333333333333333,0.27250068564715063
0.3,27.0,200.0,2.333333333333333,0.2820751214896225
0.3,29.0,200.0,2.333333333333333,0.31281927434397105
0.3,31.0,200.0,2.333333333333333,0.3299499689975523
0.3,34.0,200.0,2.333333333333333,0.3356535251652404
0.3,36.0,200.0,2.333333333333333,0.3367950486443329
0.3,39.0,200.0,2.333333333333333,0.3725981569815304
0.3,43.0,200.0,2.333333333333333,0.3948327795991287
0.3,46.0,200.0,2.333333333333333,0.44025377190647397
0.3,50.0,200.0,2.333333333333333,0.466022976358309
0.3,54.0,200.0,2.333333333333333,0.5111515669470349
0.3,58.0,200.0,2.333333333333333,0.5842480748822936
0.3,63.0,200.0,2.333333333333333,0.6223198414234797
0.3,68.0,200.0,2.333333333333333,0.824579105935442
0.3,73.0,200.0,2.333333333333333,0.8144741690012693
0.3,79.0,200.0,2.333333333333333,0.8696071251081108
0.3,85.0,200.0,2.333333333333333,1.0913398350685128
0.3,92.0,200.0,2.333333333333333,1.2363830752353988
0.3,100.0,200.0,2.333333333333333,1.2748837527421328
0.3,108.0,200.0,2.333333333333333,1.4351442058197124
0.3,116.0,200.0,2.333333333333333,1.6070743047387401
0.3,126.0,200.0,2.333333333333333,1.9048729995794056
0.3,136.0,200.0,2.333333333333333,2.472520858381056
0.3,147.0,200.0,2.333333333333333,3.4692737524026556
0.3,158.0,200.0,2.333333333333333,3.6255750469822496
0.3,171.0,200.0,2.333333333333333,5.859844050725708
0.3,185.0,200.0,2.333333333333333,13.02335695347811
0.3,200.0,200.0,2.333333333333333,23.918564043021885
0.3,216.0,200.0,2.333333333333333,7.0640069392183475
0.3,234.0,200.0,2.333333333333333,5.481988074590626
0.3,254.0,200.0,2.333333333333333,4.961772055561847
0.3,275.0,200.0,2.333333333333333,4.412284830623504
0.3,297.0,200.0,2.333333333333333,4.102194491504885
0.3,322.0,200.0,2.333333333333333,4.168167320671631
0.3,348.0,200.0,2.333333333333333,3.7489730175168225
0.3,377.0,200.0,2.333333333333333,3.913071614860237
0.3,408.0,200.0,2.333333333333333,3.9489043095700103
0.3,442.0,200.0,2.333333333333333,3.882945222440362
0.3,479.0,200.0,2.333333333333333,3.9706324178079377
0.3,518.0,200.0,2.333333333333333,3.9500531122116387
0.3,561.0,200.0,2.333333333333333,4.0124072680150995
0.3,608.0,200.0,2.333333333333333,4.079249416690267
0.3,658.0,200.0,2.333333333333333,4.04977865851593
0.3,712.0,200.0,2.333333333333333,3.868275059270792
0.3,771.0,200.0,2.333333333333333,3.895322253172021
0.3,835.0,200.0,2.333333333333333,3.990885652114869
0.3,904.0,200.0,2.333333333333333,3.8915714858793553
0.3,979.0,200.0,2.333333333333333,3.7572987212631284
0.3,1059.0,200.0,2.333333333333333,3.898332591416534
0.3,1147.0,200.0,2.333333333333333,4.164010088319545
0.3,1242.0,200.0,2.333333333333333,4.250531915470688
0.3,1344.0,200.0,2.333333333333333,4.36753526335775
0.3,1455.0,200.0,2.333333333333333,4.567500561214299
0.3,1576.0,200.0,2.333333333333333,4.437295280396357
0.3,1706.0,200.0,2.333333333333333,4.47057998683062
0.3,1847.0,200.0,2.333333333333333,4.368461875791556
0.3,2000.0,200.0,2.333333333333333,4.330884791267218
0.3,20.0,200.0,3.6666666666666665,0.18941716309367926
0.3,21.0,200.0,3.6666666666666665,0.2331488796909915
0.3,23.0,200.0,3.6666666666666665,0.27065759041153625
0.3,25.0,200.0,3.6666666666666665,0.2725006856471507
0.3,27.0,200.0,3.6666666666666665,0.2820751214896226
0.3,29.0,200.0,3.6666666666666665,0.3128192743439713
0.3,31.0,200.0,3.6666666666666665,0.3299499689975516
0.3,34.0,200.0,3.6666666666666665,0.3356535251652403
0.3,36.0,200.0,3.6666666666666665,0.33679504864433263
0.3,39.0,200.0,3.6666666666666665,0.3725981569815303
0.3,43.0,200.0,3.6666666666666665,0.39483277959912977
0.3,46.0,200.0,3.6666666666666665,0.44025377190647413
0.3,50.0,200.0,3.6666666666666665,0.4660229763583093
0.3,54.0,200.0,3.6666666666666665,0.5111515669470352
0.3,58.0,200.0,3.6666666666666665,0.5842480748822935
0.3,63.0,200.0,3.6666666666666665,0.6223198414234794
0.3,68.0,200.0,3.6666666666666665,0.8245791059354429
0.3,73.0,200.0,3.6666666666666665,0.8144741690012692
0.3,79.0,200.0,3.6666666666666665,0.8696071251081107
0.3,85.0,200.0,3.6666666666666665,1.0913398350685122
0.3,92.0,200.0,3.6666666666666665,1.2363830752353997
0.3,100.0,200.0,3.6666666666666665,1.2748837527421322
0.3,108.0,200.0,3.6666666666666665,1.4351442058197115
0.3,116.0,200.0,3.6666666666666665,1.607074304738743
0.3,126.0,200.0,3.6666666666666665,1.904872999579405
0.3,136.0,200.0,3.6666666666666665,2.472520858381059
0.3,147.0,200.0,3.6666666666666665,3.469273752402651
0.3,158.0,200.0,3.6666666666666665,3.6255750469822416
0.3,171.0,200.0,3.6666666666666665,5.859844050725693
0.3,185.0,200.0,3.6666666666666665,13.023356953478215
0.3,200.0,200.0,3.6666666666666665,23.91856404302372
0.3,216.0,200.0,3.6666666666666665,7.4650059434859894
0.3,234.0,200.0,3.6666666666666665,5.924371608328797
0.3,254.0,200.0,3.6666666666666665,5.554128837210143
0.3,275.0,200.0,3.6666666666666665,5.246939989111317
0.3,297.0,200.0,3.6666666666666665,5.068543262241494
0.3,322.0,200.0,3.6666666666666665,5.307243060854312
0.3,348.0,200.0,3.6666666666666665,4.904007449459914
0.3,377.0,200.0,3.6666666666666665,5.250338516157502
0.3,408.0,200.0,3.6666666666666665,5.393801844962708
0.3,442.0,200.0,3.6666666666666665,5.3479473685330845
0.3,479.0,200.0,3.6666666666666665,5.494954693320406
0.3,518.0,200.0,3.6666666666666665,5.5149551605379745
0.3,561.0,200.0,3.6666666666666665,5.687596416818896
