ρ,p,n,snr,MSE
-0.3,20.0,200.0,1.0,0.18596440490723043
-0.3,21.0,200.0,1.0,0.22044973802346426
-0.3,23.0,200.0,1.0,0.2522498455721363
-0.3,25.0,200.0,1.0,0.2508260480572516
-0.3,27.0,200.0,1.0,0.2502565822271472
-0.3,29.0,200.0,1.0,0.27094609919644536
-0.3,31.0,200.0,1.0,0.28321152718461123
-0.3,34.0,200.0,1.0,0.29890831077386254
-0.3,36.0,200.0,1.0,0.30447141699133173
-0.3,39.0,200.0,1.0,0.33723183212071195
-0.3,43.0,200.0,1.0,0.3507230425539108
-0.3,46.0,200.0,1.0,0.3676496865189643
-0.3,50.0,200.0,1.0,0.38816916399839546
-0.3,54.0,200.0,1.0,0.4485751047350219
-0.3,58.0,200.0,1.0,0.56573056602547
-0.3,63.0,200.0,1.0,0.6048232439375352
-0.3,68.0,200.0,1.0,0.6976699716209348
-0.3,73.0,200.0,1.0,0.7216605888401244
-0.3,79.0,200.0,1.0,0.8397105818199874
-0.3,85.0,200.0,1.0,0.9094695395465598
-0.3,92.0,200.0,1.0,1.2328313751383462
-0.3,100.0,200.0,1.0,1.3174580996945247
-0.3,108.0,200.0,1.0,1.3972550944215303
-0.3,116.0,200.0,1.0,1.6582793758180197
-0.3,126.0,200.0,1.0,2.2530620240860815
-0.3,136.0,200.0,1.0,2.2925784258570836
-0.3,147.0,200.0,1.0,2.859297478023495
-0.3,158.0,200.0,1.0,3.6018325235769475
-0.3,171.0,200.0,1.0,6.116054273254937
-0.3,185.0,200.0,1.0,11.618900157878683
-0.3,200.0,200.0,1.0,7369.896545505998
-0.3,216.0,200.0,1.0,16.537898714506124
-0.3,234.0,200.0,1.0,8.056936848962858
-0.3,254.0,200.0,1.0,4.3828610678768545
-0.3,275.0,200.0,1.0,3.1864585888902104
-0.3,297.0,200.0,1.0,2.6296587045849322
-0.3,322.0,200.0,1.0,2.286248321723587
-0.3,348.0,200.0,1.0,1.9872045261266968
-0.3,377.0,200.0,1.0,1.711063213472238
-0.3,408.0,200.0,1.0,1.4872541084517914
-0.3,442.0,200.0,1.0,1.37272146922131
-0.3,479.0,200.0,1.0,1.3887256637215053
-0.3,518.0,200.0,1.0,1.3146620955431065
-0.3,561.0,200.0,1.0,1.2387850408958332
-0.3,608.0,200.0,1.0,1.1505516569868697
-0.3,658.0,200.0,1.0,1.0524057521889156
-0.3,712.0,200.0,1.0,1.008283811705553
-0.3,771.0,200.0,1.0,0.9513894290377258
-0.3,835.0,200.0,1.0,0.9061074605279926
-0.3,904.0,200.0,1.0,0.845589040406638
-0.3,979.0,200.0,1.0,0.7944747446650534
-0.3,1059.0,200.0,1.0,0.7385203576390182
-0.3,1147.0,200.0,1.0,0.6835468614934703
-0.3,1242.0,200.0,1.0,0.6218625341378047
-0.3,1344.0,200.0,1.0,0.5618701543249901
-0.3,1455.0,200.0,1.0,0.49160443583395497
-0.3,1576.0,200.0,1.0,0.4153543939944468
-0.3,1706.0,200.0,1.0,0.3445892504611469
-0.3,1847.0,200.0,1.0,0.2478164433058525
-0.3,2000.0,200.0,1.0,0.15150749341754294
-0.3,20.0,200.0,2.333333333333333,0.18596440490723048
-0.3,21.0,200.0,2.333333333333333,0.2204497380234642
-0.3,23.0,200.0,2.333333333333333,0.2522498455721363
-0.3,25.0,200.0,2.333333333333333,0.2508260480572513
