λ,μ,p,true_p,n,snr,MSE
1.0,1.0,20.0,400.0,200.0,1.0,2.0748561587829375
1.0,1.0,21.0,400.0,200.0,1.0,2.0883061176088997
1.0,1.0,23.0,400.0,200.0,1.0,2.1437247900237244
1.0,1.0,25.0,400.0,200.0,1.0,2.150163309059925
1.0,1.0,27.0,400.0,200.0,1.0,2.2158626898782514
1.0,1.0,29.0,400.0,200.0,1.0,2.2102451462458994
1.0,1.0,31.0,400.0,200.0,1.0,2.1930939192380423
1.0,1.0,34.0,400.0,200.0,1.0,2.2267283732549688
1.0,1.0,36.0,400.0,200.0,1.0,2.2654951676299215
1.0,1.0,39.0,400.0,200.0,1.0,2.3156519346641797
1.0,1.0,43.0,400.0,200.0,1.0,2.3051318904093465
1.0,1.0,46.0,400.0,200.0,1.0,2.301862101659193
1.0,1.0,50.0,400.0,200.0,1.0,2.325143205961944
1.0,1.0,54.0,400.0,200.0,1.0,2.445231567748898
1.0,1.0,58.0,400.0,200.0,1.0,2.477902406065499
1.0,1.0,63.0,400.0,200.0,1.0,2.6087935398714768
1.0,1.0,68.0,400.0,200.0,1.0,2.708718139880196
1.0,1.0,73.0,400.0,200.0,1.0,2.769942682198185
1.0,1.0,79.0,400.0,200.0,1.0,2.8969937311421052
1.0,1.0,85.0,400.0,200.0,1.0,3.119254704998553
1.0,1.0,92.0,400.0,200.0,1.0,3.1586749041681794
1.0,1.0,100.0,400.0,200.0,1.0,3.1452695702516547
1.0,1.0,108.0,400.0,200.0,1.0,3.141600795244861
1.0,1.0,116.0,400.0,200.0,1.0,3.635933931052722
1.0,1.0,126.0,400.0,200.0,1.0,4.031645616351248
1.0,1.0,136.0,400.0,200.0,1.0,4.663583334736101
1.0,1.0,147.0,400.0,200.0,1.0,5.912550792247127
1.0,1.0,158.0,400.0,200.0,1.0,6.946011711401766
1.0,1.0,171.0,400.0,200.0,1.0,6.831582142672563
1.0,1.0,185.0,400.0,200.0,1.0,21.709568211607657
1.0,1.0,200.0,400.0,200.0,1.0,1659.508726595339
1.0,1.0,216.0,400.0,200.0,1.0,24.99849921445937
1.0,1.0,234.0,400.0,200.0,1.0,12.887727723244213
1.0,1.0,254.0,400.0,200.0,1.0,6.097917891476029
1.0,1.0,275.0,400.0,200.0,1.0,4.716246085284309
1.0,1.0,297.0,400.0,200.0,1.0,4.097581043614351
1.0,1.0,322.0,400.0,200.0,1.0,3.584310166492599
1.0,1.0,348.0,400.0,200.0,1.0,3.0634089386796166
1.0,1.0,377.0,400.0,200.0,1.0,2.8005384217873237
1.0,1.0,408.0,400.0,200.0,1.0,2.4557720593605548
1.0,1.0,442.0,400.0,200.0,1.0,2.3432198734082266
1.0,1.0,479.0,400.0,200.0,1.0,2.2467655640309028
1.0,1.0,518.0,400.0,200.0,1.0,2.203375523126857
1.0,1.0,561.0,400.0,200.0,1.0,2.154203398024605
1.0,1.0,608.0,400.0,200.0,1.0,2.1186801553742827
1.0,1.0,658.0,400.0,200.0,1.0,2.0941066190096076
1.0,1.0,712.0,400.0,200.0,1.0,2.0760524400850167
1.0,1.0,771.0,400.0,200.0,1.0,2.0653191926079577
1.0,1.0,835.0,400.0,200.0,1.0,2.038667522632053
1.0,1.0,904.0,400.0,200.0,1.0,2.0295475147029314
1.0,1.0,979.0,400.0,200.0,1.0,2.0355822761983786
1.0,1.0,1059.0,400.0,200.0,1.0,2.0195573358113177
1.0,1.0,1147.0,400.0,200.0,1.0,2.0073015534693877
1.0,1.0,1242.0,400.0,200.0,1.0,2.0172266747287555
1.0,1.0,1344.0,400.0,200.0,1.0,2.0189684413576647
1.0,1.0,1455.0,400.0,200.0,1.0,2.0069741847813454
1.0,1.0,1576.0,400.0,200.0,1.0,2.0143051130361
1.0,1.0,1706.0,400.0,200.0,1.0,2.0199665562480322
1.0,1.0,1847.0,400.0,200.0,1.0,2.00140491671363
1.0,1.0,2000.0,400.0,200.0,1.0,2.013980768226019
1.0,1.0,20.0,400.0,200.0,2.333333333333333,3.395687959557069
1.0,1.0,21.0,400.0,200.0,2.333333333333333,3.4036789033460577
1.0,1.0,23.0,400.0,200.0,2.333333333333333,3.494649378513717
1.0,1.0,25.0,400.0,200.0,2.333333333333333,3.502882316775955
1.0,1.0,27.0,400.0,200.0,2.333333333333333,3.5796141645279573
1.0,1.0,29.0,400.0,200.0,2.333333333333333,3.56685830376198
1.0,1.0,31.0,400.0,200.0,2.333333333333333,3.5382673263148288
1.0,1.0,34.0,400.0,200.0,2.333333333333333,3.5898515099088626
1.0,1.0,36.0,400.0,200.0,2.333333333333333,3.6227166995802618
1.0,1.0,39.0,400.0,200.0,2.333333333333333,3.7290669759651784
1.0,1.0,43.0,400.0,200.0,2.333333333333333,3.7198088282248043
1.0,1.0,46.0,400.0,200.0,2.333333333333333,3.7076852586944224
1.0,1.0,50.0,400.0,200.0,2.333333333333333,3.6956625561966483
1.0,1.0,54.0,400.0,200.0,2.333333333333333,3.9008818833041636
1.0,1.0,58.0,400.0,200.0,2.333333333333333,3.9614078592346895
1.0,1.0,63.0,400.0,200.0,2.333333333333333,4.147167067089305
1.0,1.0,68.0,400.0,200.0,2.333333333333333,4.376762907313896
1.0,1.0,73.0,400.0,200.0,2.333333333333333,4.430377146793138
1.0,1.0,79.0,400.0,200.0,2.333333333333333,4.6188722044863795
1.0,1.0,85.0,400.0,200.0,2.333333333333333,4.926013532976307
1.0,1.0,92.0,400.0,200.0,2.333333333333333,4.993214486279037
1.0,1.0,100.0,400.0,200.0,2.333333333333333,5.066062442958508
1.0,1.0,108.0,400.0,200.0,2.333333333333333,5.161431617630311
1.0,1.0,116.0,400.0,200.0,2.333333333333333,6.182716810496584
