λ,μ,p,n,snr,MSE
1.0,1.0,20.0,200.0,1.0,2.1568355014492218
1.0,1.0,21.0,200.0,1.0,2.234721423490888
1.0,1.0,23.0,200.0,1.0,2.285751627131758
1.0,1.0,25.0,200.0,1.0,2.287110840754437
1.0,1.0,27.0,200.0,1.0,2.2816744711085417
1.0,1.0,29.0,200.0,1.0,2.2835386467502343
1.0,1.0,31.0,200.0,1.0,2.2880364630689036
1.0,1.0,34.0,200.0,1.0,2.3144417257681895
1.0,1.0,36.0,200.0,1.0,2.5054012693767262
1.0,1.0,39.0,200.0,1.0,2.52168861351154
1.0,1.0,43.0,200.0,1.0,2.5531185273978028
1.0,1.0,46.0,200.0,1.0,2.5528493908860743
1.0,1.0,50.0,200.0,1.0,2.623043001285469
1.0,1.0,54.0,200.0,1.0,2.661410664324943
1.0,1.0,58.0,200.0,1.0,2.705932342404808
1.0,1.0,63.0,200.0,1.0,2.8378391188298284
1.0,1.0,68.0,200.0,1.0,2.8555265241044294
1.0,1.0,73.0,200.0,1.0,2.8442870347191187
1.0,1.0,79.0,200.0,1.0,3.0956221801342347
1.0,1.0,85.0,200.0,1.0,3.2493302359549583
1.0,1.0,92.0,200.0,1.0,3.34137504958275
1.0,1.0,100.0,200.0,1.0,3.2531498524415157
1.0,1.0,108.0,200.0,1.0,3.3147278352311886
1.0,1.0,116.0,200.0,1.0,3.7598051849714866
1.0,1.0,126.0,200.0,1.0,4.902627230763457
1.0,1.0,136.0,200.0,1.0,6.249065044697259
1.0,1.0,147.0,200.0,1.0,7.986547938059819
1.0,1.0,158.0,200.0,1.0,11.399745673232438
1.0,1.0,171.0,200.0,1.0,9.975289154995824
1.0,1.0,185.0,200.0,1.0,28.948317244685203
1.0,1.0,200.0,200.0,1.0,687.7887335345517
1.0,1.0,216.0,200.0,1.0,22.72326879497253
1.0,1.0,234.0,200.0,1.0,15.391191058907012
1.0,1.0,254.0,200.0,1.0,9.091979014510898
1.0,1.0,275.0,200.0,1.0,7.225581008442742
1.0,1.0,297.0,200.0,1.0,5.831263279798016
1.0,1.0,322.0,200.0,1.0,5.031110812796338
1.0,1.0,348.0,200.0,1.0,4.531213820468392
1.0,1.0,377.0,200.0,1.0,4.0141261052122195
1.0,1.0,408.0,200.0,1.0,3.7226232056309483
1.0,1.0,442.0,200.0,1.0,3.4211493743804735
1.0,1.0,479.0,200.0,1.0,3.1252116324835533
1.0,1.0,518.0,200.0,1.0,2.9642314685739115
1.0,1.0,561.0,200.0,1.0,2.791074991949428
1.0,1.0,608.0,200.0,1.0,2.71344727212752
1.0,1.0,658.0,200.0,1.0,2.617207873593949
1.0,1.0,712.0,200.0,1.0,2.5149544476500725
1.0,1.0,771.0,200.0,1.0,2.466901504442433
1.0,1.0,835.0,200.0,1.0,2.388934860196362
1.0,1.0,904.0,200.0,1.0,2.339327956920361
1.0,1.0,979.0,200.0,1.0,2.303138969221354
1.0,1.0,1059.0,200.0,1.0,2.261355491873003
1.0,1.0,1147.0,200.0,1.0,2.1945523726011116
1.0,1.0,1242.0,200.0,1.0,2.1469485708941973
1.0,1.0,1344.0,200.0,1.0,2.112679419154932
1.0,1.0,1455.0,200.0,1.0,2.0847505566193703
1.0,1.0,1576.0,200.0,1.0,2.0566070323820758
1.0,1.0,1706.0,200.0,1.0,2.0447499203987367
1.0,1.0,1847.0,200.0,1.0,2.0211933313130452
1.0,1.0,2000.0,200.0,1.0,1.990323887688727
1.0,1.0,20.0,200.0,2.333333333333333,3.590769931700635
1.0,1.0,21.0,200.0,2.333333333333333,3.7139852259172375
1.0,1.0,23.0,200.0,2.333333333333333,3.8087736428834504
