λ,μ,p,n,tau,snr,MSE
1.0,1.0,20.0,200.0,0.0,1.0,0.049701053331771536
1.0,1.0,20.0,200.0,-1.0,1.0,77793.74360311872
1.0,1.0,20.0,200.0,-2.0,1.0,6.177518803336846
1.0,1.0,20.0,200.0,-3.0,1.0,2.700876287503741
1.0,1.0,20.0,200.0,-4.0,1.0,2.0009650889522126
1.0,1.0,20.0,200.0,-5.0,1.0,1.7066908988825156
1.0,1.0,20.0,200.0,-6.0,1.0,1.545622000625158
1.0,1.0,20.0,200.0,-7.0,1.0,1.4442542389008617
1.0,1.0,20.0,200.0,-8.0,1.0,1.374666991640744
1.0,1.0,21.0,200.0,0.0,1.0,0.052037078039751404
1.0,1.0,21.0,200.0,-1.0,1.0,148541.14710537595
1.0,1.0,21.0,200.0,-2.0,1.0,6.316797040615443
1.0,1.0,21.0,200.0,-3.0,1.0,2.725136502124953
1.0,1.0,21.0,200.0,-4.0,1.0,2.014884061361784
1.0,1.0,21.0,200.0,-5.0,1.0,1.7176499593159955
1.0,1.0,21.0,200.0,-6.0,1.0,1.5552920649606123
1.0,1.0,21.0,200.0,-7.0,1.0,1.4532264754790842
1.0,1.0,21.0,200.0,-8.0,1.0,1.383208284266797
1.0,1.0,23.0,200.0,0.0,1.0,0.06817201548854193
1.0,1.0,23.0,200.0,-1.0,1.0,1816.8045841190542
1.0,1.0,23.0,200.0,-2.0,1.0,5.858266613923236
1.0,1.0,23.0,200.0,-3.0,1.0,2.573897614716713
1.0,1.0,23.0,200.0,-4.0,1.0,1.931377169757802
1.0,1.0,23.0,200.0,-5.0,1.0,1.6611194237050593
1.0,1.0,23.0,200.0,-6.0,1.0,1.512869623828549
1.0,1.0,23.0,200.0,-7.0,1.0,1.4193761180737026
1.0,1.0,23.0,200.0,-8.0,1.0,1.355083208713353
1.0,1.0,25.0,200.0,0.0,1.0,0.08021737854475788
1.0,1.0,25.0,200.0,-1.0,1.0,57.65196323081138
1.0,1.0,25.0,200.0,-2.0,1.0,8.216331929466168
1.0,1.0,25.0,200.0,-3.0,1.0,2.8106852768557085
1.0,1.0,25.0,200.0,-4.0,1.0,2.03181119705314
1.0,1.0,25.0,200.0,-5.0,1.0,1.7215781787691655
1.0,1.0,25.0,200.0,-6.0,1.0,1.5554520626224042
1.0,1.0,25.0,200.0,-7.0,1.0,1.4521125894476168
1.0,1.0,25.0,200.0,-8.0,1.0,1.3816775259665388
1.0,1.0,27.0,200.0,0.0,1.0,0.09501911899966192
1.0,1.0,27.0,200.0,-1.0,1.0,38.33689500630279
1.0,1.0,27.0,200.0,-2.0,1.0,12.710434232588408
1.0,1.0,27.0,200.0,-3.0,1.0,3.0724388137285037
1.0,1.0,27.0,200.0,-4.0,1.0,2.1393514135097895
1.0,1.0,27.0,200.0,-5.0,1.0,1.7879184045862595
1.0,1.0,27.0,200.0,-6.0,1.0,1.6039166940289953
1.0,1.0,27.0,200.0,-7.0,1.0,1.4908426483806205
1.0,1.0,27.0,200.0,-8.0,1.0,1.4143589976418594
1.0,1.0,29.0,200.0,0.0,1.0,0.10437992539247223
1.0,1.0,29.0,200.0,-1.0,1.0,194190.33598063487
1.0,1.0,29.0,200.0,-2.0,1.0,13.39873666407219
1.0,1.0,29.0,200.0,-3.0,1.0,3.00610271063865
1.0,1.0,29.0,200.0,-4.0,1.0,2.107012389307442
1.0,1.0,29.0,200.0,-5.0,1.0,1.7669615260778138
1.0,1.0,29.0,200.0,-6.0,1.0,1.58836155011273
1.0,1.0,29.0,200.0,-7.0,1.0,1.4783825558443218
1.0,1.0,29.0,200.0,-8.0,1.0,1.4038877066083317
1.0,1.0,31.0,200.0,0.0,1.0,0.11402223407071119
1.0,1.0,31.0,200.0,-1.0,1.0,36918.635954371974
1.0,1.0,31.0,200.0,-2.0,1.0,14.708903558900312
1.0,1.0,31.0,200.0,-3.0,1.0,2.89791591446768
1.0,1.0,31.0,200.0,-4.0,1.0,2.0539976945333414
1.0,1.0,31.0,200.0,-5.0,1.0,1.7327698149074582
1.0,1.0,31.0,200.0,-6.0,1.0,1.56318506303961
1.0,1.0,31.0,200.0,-7.0,1.0,1.4583926398874403
1.0,1.0,31.0,200.0,-8.0,1.0,1.3872361403689126
1.0,1.0,34.0,200.0,0.0,1.0,0.148743941499641
1.0,1.0,34.0,200.0,-1.0,1.0,878.4957798093412
1.0,1.0,34.0,200.0,-2.0,1.0,15.336669668203356
1.0,1.0,34.0,200.0,-3.0,1.0,2.9199570180666456
1.0,1.0,34.0,200.0,-4.0,1.0,2.064020046455835
1.0,1.0,34.0,200.0,-5.0,1.0,1.7389865857185265
1.0,1.0,34.0,200.0,-6.0,1.0,1.5676521292136498
1.0,1.0,34.0,200.0,-7.0,1.0,1.4618833728200131
1.0,1.0,34.0,200.0,-8.0,1.0,1.3901135429353475
1.0,1.0,36.0,200.0,0.0,1.0,0.15786650233824442
1.0,1.0,36.0,200.0,-1.0,1.0,25500.210762546998
1.0,1.0,36.0,200.0,-2.0,1.0,17.194988130910062
1.0,1.0,36.0,200.0,-3.0,1.0,2.801267297821611
1.0,1.0,36.0,200.0,-4.0,1.0,1.9922806527878427
1.0,1.0,36.0,200.0,-5.0,1.0,1.6911535057518872
1.0,1.0,36.0,200.0,-6.0,1.0,1.5330768679984492
1.0,1.0,36.0,200.0,-7.0,1.0,1.435571297700685
1.0,1.0,36.0,200.0,-8.0,1.0,1.3693994472991369
1.0,1.0,39.0,200.0,0.0,1.0,0.15489562285541023
1.0,1.0,39.0,200.0,-1.0,1.0,6185.560427580039
1.0,1.0,39.0,200.0,-2.0,1.0,23.19253578809736
1.0,1.0,39.0,200.0,-3.0,1.0,3.0056586111260644
1.0,1.0,39.0,200.0,-4.0,1.0,2.0829557959338323
1.0,1.0,39.0,200.0,-5.0,1.0,1.7479212837299838
1.0,1.0,39.0,200.0,-6.0,1.0,1.5743178712119137
1.0,1.0,39.0,200.0,-7.0,1.0,1.4680959291135802
1.0,1.0,39.0,200.0,-8.0,1.0,1.3964043838577493
1.0,1.0,43.0,200.0,0.0,1.0,0.1578256415698653
1.0,1.0,43.0,200.0,-1.0,1.0,531.8562337653327
1.0,1.0,43.0,200.0,-2.0,1.0,72.8586907038547
1.0,1.0,43.0,200.0,-3.0,1.0,2.832576024026478
1.0,1.0,43.0,200.0,-4.0,1.0,1.990010914165114
1.0,1.0,43.0,200.0,-5.0,1.0,1.6841704088124774
1.0,1.0,43.0,200.0,-6.0,1.0,1.5251784395440424
1.0,1.0,43.0,200.0,-7.0,1.0,1.4276516842187408
1.0,1.0,43.0,200.0,-8.0,1.0,1.3617062827677495
1.0,1.0,46.0,200.0,0.0,1.0,0.15786326714599477
1.0,1.0,46.0,200.0,-1.0,1.0,1543.9448677398484
1.0,1.0,46.0,200.0,-2.0,1.0,179.09588431551262
1.0,1.0,46.0,200.0,-3.0,1.0,2.9140697532033655
1.0,1.0,46.0,200.0,-4.0,1.0,2.0062851247795015
1.0,1.0,46.0,200.0,-5.0,1.0,1.6915678014739652
1.0,1.0,46.0,200.0,-6.0,1.0,1.5296886148828668
1.0,1.0,46.0,200.0,-7.0,1.0,1.4308116504295012
1.0,1.0,46.0,200.0,-8.0,1.0,1.3640981879665433
1.0,1.0,50.0,200.0,0.0,1.0,0.20889385029865762
1.0,1.0,50.0,200.0,-1.0,1.0,12918.13686194306
1.0,1.0,50.0,200.0,-2.0,1.0,938.8901987023804
1.0,1.0,50.0,200.0,-3.0,1.0,2.9095598183319265
1.0,1.0,50.0,200.0,-4.0,1.0,2.0079694025651094
1.0,1.0,50.0,200.0,-5.0,1.0,1.6937974341212385
1.0,1.0,50.0,200.0,-6.0,1.0,1.531704229111764
1.0,1.0,50.0,200.0,-7.0,1.0,1.4325143570876753
1.0,1.0,50.0,200.0,-8.0,1.0,1.365510165976173
1.0,1.0,54.0,200.0,0.0,1.0,0.2944550844521358
1.0,1.0,54.0,200.0,-1.0,1.0,139.23289017386733
1.0,1.0,54.0,200.0,-2.0,1.0,2493.3442049314626
1.0,1.0,54.0,200.0,-3.0,1.0,2.796977059207064
1.0,1.0,54.0,200.0,-4.0,1.0,1.9384253940633505
1.0,1.0,54.0,200.0,-5.0,1.0,1.6436988025638923
1.0,1.0,54.0,200.0,-6.0,1.0,1.4925536571234115
1.0,1.0,54.0,200.0,-7.0,1.0,1.4003637884596654
1.0,1.0,54.0,200.0,-8.0,1.0,1.3382137392329951
1.0,1.0,58.0,200.0,0.0,1.0,0.30642889974036597
1.0,1.0,58.0,200.0,-1.0,1.0,11806.467167472654
1.0,1.0,58.0,200.0,-2.0,1.0,190.41716637461533
1.0,1.0,58.0,200.0,-3.0,1.0,2.715505094536265
1.0,1.0,58.0,200.0,-4.0,1.0,1.9068467563586329
1.0,1.0,58.0,200.0,-5.0,1.0,1.624520135277557
1.0,1.0,58.0,200.0,-6.0,1.0,1.4789106385203672
1.0,1.0,58.0,200.0,-7.0,1.0,1.389855181971909
1.0,1.0,58.0,200.0,-8.0,1.0,1.3297221012897094
1.0,1.0,63.0,200.0,0.0,1.0,0.3694516888182024
1.0,1.0,63.0,200.0,-1.0,1.0,102.73966068683511
1.0,1.0,63.0,200.0,-2.0,1.0,143.96670630317146
1.0,1.0,63.0,200.0,-3.0,1.0,2.6347538517542906
1.0,1.0,63.0,200.0,-4.0,1.0,1.880675149688734
1.0,1.0,63.0,200.0,-5.0,1.0,1.6134437265075419
1.0,1.0,63.0,200.0,-6.0,1.0,1.474087512846101
1.0,1.0,63.0,200.0,-7.0,1.0,1.3882908110418106
1.0,1.0,63.0,200.0,-8.0,1.0,1.3301095449376008
1.0,1.0,68.0,200.0,0.0,1.0,0.41029169119351755
1.0,1.0,68.0,200.0,-1.0,1.0,3614.1740661545246
1.0,1.0,68.0,200.0,-2.0,1.0,2916.9183120122366
1.0,1.0,68.0,200.0,-3.0,1.0,2.7731510288296986
1.0,1.0,68.0,200.0,-4.0,1.0,1.9168650396218814
1.0,1.0,68.0,200.0,-5.0,1.0,1.6339951810421172
1.0,1.0,68.0,200.0,-6.0,1.0,1.4884113900002112
1.0,1.0,68.0,200.0,-7.0,1.0,1.3992398956796595
1.0,1.0,68.0,200.0,-8.0,1.0,1.338932926430587
1.0,1.0,73.0,200.0,0.0,1.0,0.4710758130431836
1.0,1.0,73.0,200.0,-1.0,1.0,42.63476423101278
1.0,1.0,73.0,200.0,-2.0,1.0,445.46095739268753
1.0,1.0,73.0,200.0,-3.0,1.0,2.846801588016223
1.0,1.0,73.0,200.0,-4.0,1.0,1.9063164386985039
1.0,1.0,73.0,200.0,-5.0,1.0,1.617153773048471
1.0,1.0,73.0,200.0,-6.0,1.0,1.471501690154775
1.0,1.0,73.0,200.0,-7.0,1.0,1.383215381975488
1.0,1.0,73.0,200.0,-8.0,1.0,1.323871198139323
1.0,1.0,79.0,200.0,0.0,1.0,0.5126780611431551
1.0,1.0,79.0,200.0,-1.0,1.0,284.13343240225055
1.0,1.0,79.0,200.0,-2.0,1.0,106.37992403467237
1.0,1.0,79.0,200.0,-3.0,1.0,3.4533924027531175
1.0,1.0,79.0,200.0,-4.0,1.0,2.001864214391932
1.0,1.0,79.0,200.0,-5.0,1.0,1.6604456369034117
1.0,1.0,79.0,200.0,-6.0,1.0,1.4982272442151334
1.0,1.0,79.0,200.0,-7.0,1.0,1.4023453987809187
1.0,1.0,79.0,200.0,-8.0,1.0,1.338784798395126
1.0,1.0,85.0,200.0,0.0,1.0,0.5480327361121207
1.0,1.0,85.0,200.0,-1.0,1.0,470.3351107567016
1.0,1.0,85.0,200.0,-2.0,1.0,15572.692561897396
1.0,1.0,85.0,200.0,-3.0,1.0,3.8303006885877386
1.0,1.0,85.0,200.0,-4.0,1.0,2.1115656333526145
1.0,1.0,85.0,200.0,-5.0,1.0,1.727525100747835
1.0,1.0,85.0,200.0,-6.0,1.0,1.5474113087276207
1.0,1.0,85.0,200.0,-7.0,1.0,1.4416975488649573
1.0,1.0,85.0,200.0,-8.0,1.0,1.3719387872318307
1.0,1.0,92.0,200.0,0.0,1.0,0.6035904570664866
1.0,1.0,92.0,200.0,-1.0,1.0,145.22688956399574
1.0,1.0,92.0,200.0,-2.0,1.0,113.33978099814428
1.0,1.0,92.0,200.0,-3.0,1.0,4.489974830650017
1.0,1.0,92.0,200.0,-4.0,1.0,2.1911079689956363
1.0,1.0,92.0,200.0,-5.0,1.0,1.7678066608835277
1.0,1.0,92.0,200.0,-6.0,1.0,1.57245462938028
1.0,1.0,92.0,200.0,-7.0,1.0,1.4588850366650945
1.0,1.0,92.0,200.0,-8.0,1.0,1.3844322698631668
1.0,1.0,100.0,200.0,0.0,1.0,0.8097092972603905
1.0,1.0,100.0,200.0,-1.0,1.0,2329219.0206361357
1.0,1.0,100.0,200.0,-2.0,1.0,286.83330403217093
1.0,1.0,100.0,200.0,-3.0,1.0,5.152165743119118
1.0,1.0,100.0,200.0,-4.0,1.0,2.263119982764058
1.0,1.0,100.0,200.0,-5.0,1.0,1.8066353510822162
1.0,1.0,100.0,200.0,-6.0,1.0,1.5988846777454884
1.0,1.0,100.0,200.0,-7.0,1.0,1.4790393217951845
1.0,1.0,100.0,200.0,-8.0,1.0,1.4008756555564028
1.0,1.0,108.0,200.0,0.0,1.0,1.1931653298533205
1.0,1.0,108.0,200.0,-1.0,1.0,555.965277776394
1.0,1.0,108.0,200.0,-2.0,1.0,1686.0144754607634
1.0,1.0,108.0,200.0,-3.0,1.0,6.393185075594857
1.0,1.0,108.0,200.0,-4.0,1.0,2.4236174457124187
1.0,1.0,108.0,200.0,-5.0,1.0,1.887508631372168
1.0,1.0,108.0,200.0,-6.0,1.0,1.6521963303044505
1.0,1.0,108.0,200.0,-7.0,1.0,1.5189384741437717
1.0,1.0,108.0,200.0,-8.0,1.0,1.433018379305477
1.0,1.0,116.0,200.0,0.0,1.0,1.3165362408379349
1.0,1.0,116.0,200.0,-1.0,1.0,241515.52750253334
1.0,1.0,116.0,200.0,-2.0,1.0,828.4837783792394
1.0,1.0,116.0,200.0,-3.0,1.0,8.249756788124383
1.0,1.0,116.0,200.0,-4.0,1.0,2.5686698514063626
1.0,1.0,116.0,200.0,-5.0,1.0,1.9481646910525003
1.0,1.0,116.0,200.0,-6.0,1.0,1.6885300161008734
1.0,1.0,116.0,200.0,-7.0,1.0,1.5445742722426627
1.0,1.0,116.0,200.0,-8.0,1.0,1.4528575895390163
1.0,1.0,126.0,200.0,0.0,1.0,1.501041482264197
1.0,1.0,126.0,200.0,-1.0,1.0,29210.625793661882
1.0,1.0,126.0,200.0,-2.0,1.0,402.4965560114184
1.0,1.0,126.0,200.0,-3.0,1.0,33.373569728251965
1.0,1.0,126.0,200.0,-4.0,1.0,2.9100405406527563
1.0,1.0,126.0,200.0,-5.0,1.0,2.0627831727388015
1.0,1.0,126.0,200.0,-6.0,1.0,1.7495206836600774
1.0,1.0,126.0,200.0,-7.0,1.0,1.5842096677913615
1.0,1.0,126.0,200.0,-8.0,1.0,1.481678516333967
1.0,1.0,136.0,200.0,0.0,1.0,1.873172203339737
1.0,1.0,136.0,200.0,-1.0,1.0,558.4435881902939
1.0,1.0,136.0,200.0,-2.0,1.0,230.64898451277116
1.0,1.0,136.0,200.0,-3.0,1.0,343.6421410602885
