λ,μ,p,n,snr,n_iter,MSE
1.0,1.0,20.0,200.0,1.0,40152012.5,0.13692097208262485
1.0,1.0,20.0,200.0,2.333333333333333,40152012.5,0.13692097208262477
1.0,1.0,20.0,200.0,3.6666666666666665,40152012.5,0.1369209720826247
1.0,1.0,20.0,200.0,5.0,40152012.5,0.13692097208262455
1.0,1.0,21.0,200.0,1.0,40152012.5,0.136728735333707
1.0,1.0,21.0,200.0,2.333333333333333,40152012.5,0.13672873533370725
1.0,1.0,21.0,200.0,3.6666666666666665,40152012.5,0.1367287353337075
1.0,1.0,21.0,200.0,5.0,40152012.5,0.13672873533370755
1.0,1.0,23.0,200.0,1.0,40152012.5,0.1405501522936529
1.0,1.0,23.0,200.0,2.333333333333333,40152012.5,0.140550152293653
1.0,1.0,23.0,200.0,3.6666666666666665,40152012.5,0.14055015229365306
1.0,1.0,23.0,200.0,5.0,40152012.5,0.14055015229365309
1.0,1.0,25.0,200.0,1.0,40152012.5,0.14584464738543956
1.0,1.0,25.0,200.0,2.333333333333333,40152012.5,0.14584464738543954
1.0,1.0,25.0,200.0,3.6666666666666665,40152012.5,0.1458446473854396
1.0,1.0,25.0,200.0,5.0,40152012.5,0.14584464738543965
1.0,1.0,27.0,200.0,1.0,40152012.5,0.1481159528439058
1.0,1.0,27.0,200.0,2.333333333333333,40152012.5,0.14811595284390583
1.0,1.0,27.0,200.0,3.6666666666666665,40152012.5,0.148115952843906
1.0,1.0,27.0,200.0,5.0,40152012.5,0.1481159528439059
1.0,1.0,29.0,200.0,1.0,40152012.5,0.15973875494407655
1.0,1.0,29.0,200.0,2.333333333333333,40152012.5,0.15973875494407663
1.0,1.0,29.0,200.0,3.6666666666666665,40152012.5,0.1597387549440768
1.0,1.0,29.0,200.0,5.0,40152012.5,0.15973875494407686
1.0,1.0,31.0,200.0,1.0,40152012.5,0.1688579117823359
1.0,1.0,31.0,200.0,2.333333333333333,40152012.5,0.16885791178233583
1.0,1.0,31.0,200.0,3.6666666666666665,40152012.5,0.16885791178233578
1.0,1.0,31.0,200.0,5.0,40152012.5,0.16885791178233575
1.0,1.0,34.0,200.0,1.0,40152012.5,0.2094915882777547
1.0,1.0,34.0,200.0,2.333333333333333,40152012.5,0.20949158827775474
1.0,1.0,34.0,200.0,3.6666666666666665,40152012.5,0.20949158827775471
1.0,1.0,34.0,200.0,5.0,40152012.5,0.20949158827775488
1.0,1.0,36.0,200.0,1.0,40152012.5,0.25911195290679345
1.0,1.0,36.0,200.0,2.333333333333333,40152012.5,0.25911195290679323
1.0,1.0,36.0,200.0,3.6666666666666665,40152012.5,0.2591119529067931
1.0,1.0,36.0,200.0,5.0,40152012.5,0.25911195290679284
1.0,1.0,39.0,200.0,1.0,40152012.5,0.2795717950959991
1.0,1.0,39.0,200.0,2.333333333333333,40152012.5,0.27957179509599855
1.0,1.0,39.0,200.0,3.6666666666666665,40152012.5,0.2795717950959983
1.0,1.0,39.0,200.0,5.0,40152012.5,0.279571795095998
1.0,1.0,43.0,200.0,1.0,40152012.5,0.3231626584148478
1.0,1.0,43.0,200.0,2.333333333333333,40152012.5,0.32316265841484804
1.0,1.0,43.0,200.0,3.6666666666666665,40152012.5,0.32316265841484804
1.0,1.0,43.0,200.0,5.0,40152012.5,0.32316265841484815
1.0,1.0,46.0,200.0,1.0,40152012.5,0.3685409818728681
1.0,1.0,46.0,200.0,2.333333333333333,40152012.5,0.3685409818728682
1.0,1.0,46.0,200.0,3.6666666666666665,40152012.5,0.3685409818728683
1.0,1.0,46.0,200.0,5.0,40152012.5,0.3685409818728682
1.0,1.0,50.0,200.0,1.0,40152012.5,0.3829128631117329
1.0,1.0,50.0,200.0,2.333333333333333,40152012.5,0.3829128631117328
1.0,1.0,50.0,200.0,3.6666666666666665,40152012.5,0.38291286311173267
1.0,1.0,50.0,200.0,5.0,40152012.5,0.38291286311173256
1.0,1.0,54.0,200.0,1.0,40152012.5,0.42000704259452204
1.0,1.0,54.0,200.0,2.333333333333333,40152012.5,0.4200070425945224
1.0,1.0,54.0,200.0,3.6666666666666665,40152012.5,0.4200070425945226
1.0,1.0,54.0,200.0,5.0,40152012.5,0.4200070425945228
1.0,1.0,58.0,200.0,1.0,40152012.5,0.4999776628850069
1.0,1.0,58.0,200.0,2.333333333333333,40152012.5,0.4999776628850071
1.0,1.0,58.0,200.0,3.6666666666666665,40152012.5,0.4999776628850072
1.0,1.0,58.0,200.0,5.0,40152012.5,0.49997766288500733
1.0,1.0,63.0,200.0,1.0,40152012.5,0.5456206318342931
1.0,1.0,63.0,200.0,2.333333333333333,40152012.5,0.5456206318342932
1.0,1.0,63.0,200.0,3.6666666666666665,40152012.5,0.5456206318342933
1.0,1.0,63.0,200.0,5.0,40152012.5,0.5456206318342933
1.0,1.0,68.0,200.0,1.0,40152012.5,0.7002551481081978
1.0,1.0,68.0,200.0,2.333333333333333,40152012.5,0.700255148108198
1.0,1.0,68.0,200.0,3.6666666666666665,40152012.5,0.700255148108198
1.0,1.0,68.0,200.0,5.0,40152012.5,0.7002551481081982
1.0,1.0,73.0,200.0,1.0,40152012.5,0.8021661460304728
1.0,1.0,73.0,200.0,2.333333333333333,40152012.5,0.8021661460304728
1.0,1.0,73.0,200.0,3.6666666666666665,40152012.5,0.8021661460304726
1.0,1.0,73.0,200.0,5.0,40152012.5,0.8021661460304726
1.0,1.0,79.0,200.0,1.0,40152012.5,0.8690009509706405
1.0,1.0,79.0,200.0,2.333333333333333,40152012.5,0.8690009509706407
1.0,1.0,79.0,200.0,3.6666666666666665,40152012.5,0.8690009509706409
1.0,1.0,79.0,200.0,5.0,40152012.5,0.8690009509706406
1.0,1.0,85.0,200.0,1.0,40152012.5,1.001672244650255
1.0,1.0,85.0,200.0,2.333333333333333,40152012.5,1.001672244650255
1.0,1.0,85.0,200.0,3.6666666666666665,40152012.5,1.0016722446502548
1.0,1.0,85.0,200.0,5.0,40152012.5,1.001672244650255
1.0,1.0,92.0,200.0,1.0,40152012.5,1.0874158121316695
1.0,1.0,92.0,200.0,2.333333333333333,40152012.5,1.087415812131669
1.0,1.0,92.0,200.0,3.6666666666666665,40152012.5,1.087415812131669
1.0,1.0,92.0,200.0,5.0,40152012.5,1.0874158121316682
1.0,1.0,100.0,200.0,1.0,40152012.5,1.3315172764757732
1.0,1.0,100.0,200.0,2.333333333333333,40152012.5,1.3315172764757732
1.0,1.0,100.0,200.0,3.6666666666666665,40152012.5,1.3315172764757732
1.0,1.0,100.0,200.0,5.0,40152012.5,1.3315172764757737
1.0,1.0,108.0,200.0,1.0,40152012.5,1.44145239283923
1.0,1.0,108.0,200.0,2.333333333333333,40152012.5,1.4414523928392304
1.0,1.0,108.0,200.0,3.6666666666666665,40152012.5,1.441452392839231
1.0,1.0,108.0,200.0,5.0,40152012.5,1.4414523928392318
1.0,1.0,116.0,200.0,1.0,40152012.5,1.6513454257410436
1.0,1.0,116.0,200.0,2.333333333333333,40152012.5,1.651345425741044
1.0,1.0,116.0,200.0,3.6666666666666665,40152012.5,1.6513454257410443
1.0,1.0,116.0,200.0,5.0,40152012.5,1.6513454257410443
1.0,1.0,126.0,200.0,1.0,40152012.5,1.8103307671004993
1.0,1.0,126.0,200.0,2.333333333333333,40152012.5,1.8103307671005
1.0,1.0,126.0,200.0,3.6666666666666665,40152012.5,1.8103307671004998
1.0,1.0,126.0,200.0,5.0,40152012.5,1.8103307671004996
1.0,1.0,136.0,200.0,1.0,40152012.5,2.997221954410108
1.0,1.0,136.0,200.0,2.333333333333333,40152012.5,2.997221954410108
1.0,1.0,136.0,200.0,3.6666666666666665,40152012.5,2.997221954410109
1.0,1.0,136.0,200.0,5.0,40152012.5,2.99722195441011
1.0,1.0,147.0,200.0,1.0,40152012.5,3.389917050201077
1.0,1.0,147.0,200.0,2.333333333333333,40152012.5,3.389917050201073
1.0,1.0,147.0,200.0,3.6666666666666665,40152012.5,3.3899170502010705
1.0,1.0,147.0,200.0,5.0,40152012.5,3.3899170502010656
1.0,1.0,158.0,200.0,1.0,40152012.5,4.038106823613804
1.0,1.0,158.0,200.0,2.333333333333333,40152012.5,4.038106823613803
1.0,1.0,158.0,200.0,3.6666666666666665,40152012.5,4.038106823613801
1.0,1.0,158.0,200.0,5.0,40152012.5,4.0381068236138
1.0,1.0,171.0,200.0,1.0,40152012.5,9.196740700456523
1.0,1.0,171.0,200.0,2.333333333333333,40152012.5,9.196740700456521
1.0,1.0,171.0,200.0,3.6666666666666665,40152012.5,9.196740700456521
1.0,1.0,171.0,200.0,5.0,40152012.5,9.19674070045652
1.0,1.0,185.0,200.0,1.0,40152012.5,15.3679096736152
1.0,1.0,185.0,200.0,2.333333333333333,40152012.5,15.367909673615301
1.0,1.0,185.0,200.0,3.6666666666666665,40152012.5,15.367909673615383
1.0,1.0,185.0,200.0,5.0,40152012.5,15.36790967361544
1.0,1.0,200.0,200.0,1.0,40152012.5,7446.312841760817
