λ,μ,p,n,snr,MSE
1.0,1.0,20.0,200.0,1.0,0.15597281258775325
1.0,1.0,21.0,200.0,1.0,0.1634614917138021
1.0,1.0,23.0,200.0,1.0,0.1686048012915098
1.0,1.0,25.0,200.0,1.0,0.18432097992198154
1.0,1.0,27.0,200.0,1.0,0.23274787880517425
1.0,1.0,29.0,200.0,1.0,0.2532645774956985
1.0,1.0,31.0,200.0,1.0,0.25829449569001406
1.0,1.0,34.0,200.0,1.0,0.2790576955714526
1.0,1.0,36.0,200.0,1.0,0.27814816729567143
1.0,1.0,39.0,200.0,1.0,0.2680719973028957
1.0,1.0,43.0,200.0,1.0,0.32637964453777313
1.0,1.0,46.0,200.0,1.0,0.3325952031961616
1.0,1.0,50.0,200.0,1.0,0.34875649033677875
1.0,1.0,54.0,200.0,1.0,0.370663359166937
1.0,1.0,58.0,200.0,1.0,0.39831981226371027
1.0,1.0,63.0,200.0,1.0,0.44382587813730595
1.0,1.0,68.0,200.0,1.0,0.6130157325172597
1.0,1.0,73.0,200.0,1.0,0.7006066156798881
1.0,1.0,79.0,200.0,1.0,0.7370262808353939
1.0,1.0,85.0,200.0,1.0,0.8911294800177213
1.0,1.0,92.0,200.0,1.0,1.164650061143103
1.0,1.0,100.0,200.0,1.0,1.2337472108285494
1.0,1.0,108.0,200.0,1.0,1.5007223715813456
1.0,1.0,116.0,200.0,1.0,1.5932733915816941
1.0,1.0,126.0,200.0,1.0,1.9065747563653215
1.0,1.0,136.0,200.0,1.0,2.2683128985178023
1.0,1.0,147.0,200.0,1.0,3.510112473698266
1.0,1.0,158.0,200.0,1.0,4.557189756126815
1.0,1.0,171.0,200.0,1.0,7.049643699221799
1.0,1.0,185.0,200.0,1.0,7.69539017436858
1.0,1.0,200.0,200.0,1.0,125886.87951009345
1.0,1.0,216.0,200.0,1.0,10.868633318396355
1.0,1.0,234.0,200.0,1.0,4.6443078715999615
1.0,1.0,254.0,200.0,1.0,2.9559034232241013
1.0,1.0,275.0,200.0,1.0,2.5362989225614623
1.0,1.0,297.0,200.0,1.0,1.9639895972494517
1.0,1.0,322.0,200.0,1.0,1.629648782839575
1.0,1.0,348.0,200.0,1.0,1.486822590127862
1.0,1.0,377.0,200.0,1.0,1.2486397534956541
1.0,1.0,408.0,200.0,1.0,1.0712534958302415
1.0,1.0,442.0,200.0,1.0,0.9067926056487322
1.0,1.0,479.0,200.0,1.0,0.7802367056559361
1.0,1.0,518.0,200.0,1.0,0.6959524522662458
1.0,1.0,561.0,200.0,1.0,0.5939095648976349
1.0,1.0,608.0,200.0,1.0,0.5261150808448533
1.0,1.0,658.0,200.0,1.0,0.45977377681051185
1.0,1.0,712.0,200.0,1.0,0.4025707394525792
1.0,1.0,771.0,200.0,1.0,0.3534185750574067
1.0,1.0,835.0,200.0,1.0,0.3241169684487066
1.0,1.0,904.0,200.0,1.0,0.3004474845370555
1.0,1.0,979.0,200.0,1.0,0.2914502071821552
1.0,1.0,1059.0,200.0,1.0,0.2789522575675303
1.0,1.0,1147.0,200.0,1.0,0.26397109599900986
1.0,1.0,1242.0,200.0,1.0,0.2597257732388581
1.0,1.0,1344.0,200.0,1.0,0.26226597613915054
1.0,1.0,1455.0,200.0,1.0,0.26903487720550584
1.0,1.0,1576.0,200.0,1.0,0.277336037816659
1.0,1.0,1706.0,200.0,1.0,0.2700424959124203
1.0,1.0,1847.0,200.0,1.0,0.2719539196089662
1.0,1.0,2000.0,200.0,1.0,0.2769839575984336
1.0,1.0,20.0,200.0,2.333333333333333,0.15597281258775397
1.0,1.0,21.0,200.0,2.333333333333333,0.1634614917137999
1.0,1.0,23.0,200.0,2.333333333333333,0.16860480129151004
1.0,1.0,25.0,200.0,2.333333333333333,0.18432097992198473
1.0,1.0,27.0,200.0,2.333333333333333,0.2327478788051746
1.0,1.0,29.0,200.0,2.333333333333333,0.25326457749569803
1.0,1.0,31.0,200.0,2.333333333333333,0.2582944956900129
1.0,1.0,34.0,200.0,2.333333333333333,0.2790576955714554
1.0,1.0,36.0,200.0,2.333333333333333,0.27814816729567365
1.0,1.0,39.0,200.0,2.333333333333333,0.2680719973028952
1.0,1.0,43.0,200.0,2.333333333333333,0.3263796445377703
1.0,1.0,46.0,200.0,2.333333333333333,0.33259520319616315
1.0,1.0,50.0,200.0,2.333333333333333,0.34875649033677486
