λ,μ,p,n,snr,MSE
1.0,1.0,2.0,20.0,1.0,0.0038836763146186002
1.0,1.0,3.0,20.0,1.0,0.03223251948895453
1.0,1.0,4.0,20.0,1.0,0.07397709832560093
1.0,1.0,5.0,20.0,1.0,0.09477202672226377
1.0,1.0,6.0,20.0,1.0,0.11985758260251606
1.0,1.0,7.0,20.0,1.0,0.6028672939297928
1.0,1.0,8.0,20.0,1.0,0.6866300865735164
1.0,1.0,9.0,20.0,1.0,1.087841571758924
1.0,1.0,10.0,20.0,1.0,1.0623018168133989
1.0,1.0,11.0,20.0,1.0,1.1207980170291372
1.0,1.0,12.0,20.0,1.0,1.170550184056045
1.0,1.0,13.0,20.0,1.0,1.1896135468394393
1.0,1.0,14.0,20.0,1.0,1.2160746271397767
1.0,1.0,15.0,20.0,1.0,4.037550899076561
1.0,1.0,17.0,20.0,1.0,2.3701905373495507
1.0,1.0,18.0,20.0,1.0,7.5216931890557985
1.0,1.0,20.0,20.0,1.0,70.41487467658648
1.0,1.0,21.0,20.0,1.0,44.081981266716014
1.0,1.0,23.0,20.0,1.0,7.620700229713341
1.0,1.0,25.0,20.0,1.0,4.418935155041502
1.0,1.0,27.0,20.0,1.0,2.9133133114714087
1.0,1.0,29.0,20.0,1.0,2.0978740901030273
1.0,1.0,31.0,20.0,1.0,1.8056788947822475
1.0,1.0,34.0,20.0,1.0,1.749929286827195
1.0,1.0,37.0,20.0,1.0,1.430696788134212
1.0,1.0,40.0,20.0,1.0,1.4386295462277283
1.0,1.0,43.0,20.0,1.0,1.4085148310934448
1.0,1.0,47.0,20.0,1.0,1.2545270415551912
1.0,1.0,51.0,20.0,1.0,1.1994336679388766
1.0,1.0,55.0,20.0,1.0,1.2678232397626847
1.0,1.0,59.0,20.0,1.0,1.2043506938033248
1.0,1.0,64.0,20.0,1.0,1.1652186223010559
1.0,1.0,69.0,20.0,1.0,1.1201569525998938
1.0,1.0,75.0,20.0,1.0,1.081463746262938
1.0,1.0,81.0,20.0,1.0,1.1251441273285734
1.0,1.0,88.0,20.0,1.0,1.0785755482677584
1.0,1.0,95.0,20.0,1.0,1.068415281595528
1.0,1.0,103.0,20.0,1.0,1.0595046969523771
1.0,1.0,111.0,20.0,1.0,1.0742703416856487
