λ,μ,p,true_p,n,tau,snr,MSE
1.0,1.0,20.0,400.0,200.0,0.0,1.0,2.3317390466410863
1.0,1.0,20.0,400.0,200.0,2.1306122448979594,1.0,2.0114478105887312
1.0,1.0,21.0,400.0,200.0,0.0,1.0,2.3423872262434737
1.0,1.0,21.0,400.0,200.0,2.1306122448979594,1.0,2.0086173168028223
1.0,1.0,23.0,400.0,200.0,0.0,1.0,2.327473022355224
1.0,1.0,23.0,400.0,200.0,2.536734693877551,1.0,1.9992621008082798
1.0,1.0,25.0,400.0,200.0,0.0,1.0,2.3244697095582114
1.0,1.0,25.0,400.0,200.0,3.7551020408163267,1.0,1.9924359604743258
1.0,1.0,27.0,400.0,200.0,0.0,1.0,2.347801600036769
1.0,1.0,27.0,400.0,200.0,5.785714285714285,1.0,1.991529441108925
1.0,1.0,29.0,400.0,200.0,0.0,1.0,2.3641843064948973
1.0,1.0,29.0,400.0,200.0,7.410204081632653,1.0,1.9911946102591227
1.0,1.0,31.0,400.0,200.0,0.0,1.0,2.3568693558753053
1.0,1.0,31.0,400.0,200.0,4.9734693877551015,1.0,1.9903785115439543
1.0,1.0,34.0,400.0,200.0,0.0,1.0,2.4782398132655143
1.0,1.0,34.0,400.0,200.0,2.1306122448979594,1.0,2.004603405827614
1.0,1.0,36.0,400.0,200.0,0.0,1.0,2.4709991128785065
1.0,1.0,36.0,400.0,200.0,2.536734693877551,1.0,1.995099617775092
1.0,1.0,39.0,400.0,200.0,0.0,1.0,2.550216430638686
1.0,1.0,39.0,400.0,200.0,1.7244897959183674,1.0,2.0016873551096754
1.0,1.0,43.0,400.0,200.0,0.0,1.0,2.5608579487950536
1.0,1.0,43.0,400.0,200.0,1.7244897959183674,1.0,1.9940811991129732
1.0,1.0,46.0,400.0,200.0,0.0,1.0,2.585158089422307
1.0,1.0,46.0,400.0,200.0,1.7244897959183674,1.0,1.9910319445379479
1.0,1.0,50.0,400.0,200.0,0.0,1.0,2.745727619865563
1.0,1.0,50.0,400.0,200.0,1.7244897959183674,1.0,1.999355917230752
1.0,1.0,54.0,400.0,200.0,0.0,1.0,2.789083022935145
1.0,1.0,54.0,400.0,200.0,1.7244897959183674,1.0,1.9957888418070775
1.0,1.0,58.0,400.0,200.0,0.0,1.0,2.7856811549591933
1.0,1.0,58.0,400.0,200.0,1.7244897959183674,1.0,1.9890620275960647
1.0,1.0,63.0,400.0,200.0,0.0,1.0,2.9744049900641847
1.0,1.0,63.0,400.0,200.0,1.7244897959183674,1.0,1.9842759831175862
1.0,1.0,68.0,400.0,200.0,0.0,1.0,3.1370616811668404
1.0,1.0,68.0,400.0,200.0,1.3183673469387756,1.0,2.0075215532801325
1.0,1.0,73.0,400.0,200.0,0.0,1.0,3.4624686968936955
1.0,1.0,73.0,400.0,200.0,0.9122448979591836,1.0,2.067391350909672
1.0,1.0,79.0,400.0,200.0,0.0,1.0,3.676934458282448
1.0,1.0,79.0,400.0,200.0,0.9122448979591836,1.0,2.078948616482063
1.0,1.0,85.0,400.0,200.0,0.0,1.0,3.6426906108827586
1.0,1.0,85.0,400.0,200.0,1.3183673469387756,1.0,2.007496208477662
