λ,μ,p,n,snr,true_p,tau,MSE
1.0,1.0,20.0,200.0,1.0,100.0,0.0,2.104686913350148
1.0,1.0,20.0,200.0,2.333333333333333,100.0,0.0,3.445342789447512
1.0,1.0,20.0,200.0,3.6666666666666665,100.0,0.0,4.782880345325106
1.0,1.0,20.0,200.0,5.0,100.0,0.0,6.118947330938153
1.0,1.0,21.0,200.0,1.0,100.0,0.0,2.1020935123948163
1.0,1.0,21.0,200.0,2.333333333333333,100.0,0.0,3.423104883140656
1.0,1.0,21.0,200.0,3.6666666666666665,100.0,0.0,4.739110760267015
1.0,1.0,21.0,200.0,5.0,100.0,0.0,6.052756094037517
1.0,1.0,23.0,200.0,1.0,100.0,0.0,2.079132923212664
1.0,1.0,23.0,200.0,2.333333333333333,100.0,0.0,3.377443760581258
1.0,1.0,23.0,200.0,3.6666666666666665,100.0,0.0,4.672882059908146
1.0,1.0,23.0,200.0,5.0,100.0,0.0,5.96696569751647
1.0,1.0,25.0,200.0,1.0,100.0,0.0,2.0889899523990443
1.0,1.0,25.0,200.0,2.333333333333333,100.0,0.0,3.375992467390913
1.0,1.0,25.0,200.0,3.6666666666666665,100.0,0.0,4.658027299402996
1.0,1.0,25.0,200.0,5.0,100.0,0.0,5.937719419198573
1.0,1.0,27.0,200.0,1.0,100.0,0.0,2.048345061511966
1.0,1.0,27.0,200.0,2.333333333333333,100.0,0.0,3.2913569344306888
1.0,1.0,27.0,200.0,3.6666666666666665,100.0,0.0,4.532357314593154
1.0,1.0,27.0,200.0,5.0,100.0,0.0,5.772409093833897
1.0,1.0,29.0,200.0,1.0,100.0,0.0,2.069473902800957
1.0,1.0,29.0,200.0,2.333333333333333,100.0,0.0,3.311554714188524
1.0,1.0,29.0,200.0,3.6666666666666665,100.0,0.0,4.549186640223073
1.0,1.0,29.0,200.0,5.0,100.0,0.0,5.784720514085469
1.0,1.0,31.0,200.0,1.0,100.0,0.0,2.04502878130989
1.0,1.0,31.0,200.0,2.333333333333333,100.0,0.0,3.2381241555202056
1.0,1.0,31.0,200.0,3.6666666666666665,100.0,0.0,4.427237674006852
1.0,1.0,31.0,200.0,5.0,100.0,0.0,5.614473387068685
1.0,1.0,34.0,200.0,1.0,100.0,0.0,2.0822045437390937
1.0,1.0,34.0,200.0,2.333333333333333,100.0,0.0,3.239883666635856
1.0,1.0,34.0,200.0,3.6666666666666665,100.0,0.0,4.393339733045258
1.0,1.0,34.0,200.0,5.0,100.0,0.0,5.544804246035466
1.0,1.0,36.0,200.0,1.0,100.0,0.0,2.0177166404006672
1.0,1.0,36.0,200.0,2.333333333333333,100.0,0.0,3.0913618233436955
1.0,1.0,36.0,200.0,3.6666666666666665,100.0,0.0,4.161307769550206
1.0,1.0,36.0,200.0,5.0,100.0,0.0,5.229509190767976
1.0,1.0,39.0,200.0,1.0,100.0,0.0,2.0991196339093907
1.0,1.0,39.0,200.0,2.333333333333333,100.0,0.0,3.186651101739899
1.0,1.0,39.0,200.0,3.6666666666666665,100.0,0.0,4.264293561257994
1.0,1.0,39.0,200.0,5.0,100.0,0.0,5.337272458170185
1.0,1.0,43.0,200.0,1.0,100.0,0.0,2.0417967742908814
1.0,1.0,43.0,200.0,2.333333333333333,100.0,0.0,3.040959159219005
1.0,1.0,43.0,200.0,3.6666666666666665,100.0,0.0,4.032393633602896
1.0,1.0,43.0,200.0,5.0,100.0,0.0,5.020183698608492
1.0,1.0,46.0,200.0,1.0,100.0,0.0,2.039691510425463
1.0,1.0,46.0,200.0,2.333333333333333,100.0,0.0,3.0029109800636107
1.0,1.0,46.0,200.0,3.6666666666666665,100.0,0.0,3.958746547816925
1.0,1.0,46.0,200.0,5.0,100.0,0.0,4.911099937415674
1.0,1.0,50.0,200.0,1.0,100.0,0.0,2.27639769882148
1.0,1.0,50.0,200.0,2.333333333333333,100.0,0.0,3.3560115352915587
1.0,1.0,50.0,200.0,3.6666666666666665,100.0,0.0,4.408649869303363
1.0,1.0,50.0,200.0,5.0,100.0,0.0,5.448566811992059
1.0,1.0,54.0,200.0,1.0,100.0,0.0,2.297965628197058
1.0,1.0,54.0,200.0,2.333333333333333,100.0,0.0,3.329492101458173
1.0,1.0,54.0,200.0,3.6666666666666665,100.0,0.0,4.330211697363826
1.0,1.0,54.0,200.0,5.0,100.0,0.0,5.316403061853297
1.0,1.0,58.0,200.0,1.0,100.0,0.0,2.2222307172823914
1.0,1.0,58.0,200.0,2.333333333333333,100.0,0.0,3.178218086205981
1.0,1.0,58.0,200.0,3.6666666666666665,100.0,0.0,4.105521296875097
1.0,1.0,58.0,200.0,5.0,100.0,0.0,5.019297330339906
