λ,μ,p,true_p,n,tau,snr,MSE
1.0,1.0,20.0,100.0,200.0,0.0,1.0,1.8817769470357466
1.0,1.0,20.0,100.0,200.0,-1.0,1.0,1.8834953749597705
1.0,1.0,20.0,100.0,200.0,-2.0,1.0,1.88525813522319
1.0,1.0,20.0,100.0,200.0,-3.0,1.0,1.8870665753179252
1.0,1.0,20.0,100.0,200.0,-4.0,1.0,1.8889220958122357
1.0,1.0,20.0,100.0,200.0,-5.0,1.0,1.8908261530358228
1.0,1.0,20.0,100.0,200.0,-6.0,1.0,1.8927802619352403
1.0,1.0,20.0,100.0,200.0,-7.0,1.0,1.8947859991127076
1.0,1.0,20.0,100.0,200.0,-8.0,1.0,1.8968450060627824
1.0,1.0,21.0,100.0,200.0,0.0,1.0,1.8927919755850067
1.0,1.0,21.0,100.0,200.0,-1.0,1.0,1.8950643752111738
1.0,1.0,21.0,100.0,200.0,-2.0,1.0,1.8973961291187846
1.0,1.0,21.0,100.0,200.0,-3.0,1.0,1.8997890581993773
1.0,1.0,21.0,100.0,200.0,-4.0,1.0,1.9022450540416553
1.0,1.0,21.0,100.0,200.0,-5.0,1.0,1.9047660823664445
1.0,1.0,21.0,100.0,200.0,-6.0,1.0,1.907354186666288
1.0,1.0,21.0,100.0,200.0,-7.0,1.0,1.91001149206423
1.0,1.0,21.0,100.0,200.0,-8.0,1.0,1.9127402094077828
1.0,1.0,23.0,100.0,200.0,0.0,1.0,1.8991628538327356
1.0,1.0,23.0,100.0,200.0,-1.0,1.0,1.9014269534575168
1.0,1.0,23.0,100.0,200.0,-2.0,1.0,1.903751321740583
1.0,1.0,23.0,100.0,200.0,-3.0,1.0,1.9061378948053986
1.0,1.0,23.0,100.0,200.0,-4.0,1.0,1.9085886891668211
1.0,1.0,23.0,100.0,200.0,-5.0,1.0,1.9111058059670074
1.0,1.0,23.0,100.0,200.0,-6.0,1.0,1.9136914354865804
1.0,1.0,23.0,100.0,200.0,-7.0,1.0,1.9163478619526038
1.0,1.0,23.0,100.0,200.0,-8.0,1.0,1.9190774686668388
1.0,1.0,25.0,100.0,200.0,0.0,1.0,1.8875677884291104
1.0,1.0,25.0,100.0,200.0,-1.0,1.0,1.8900629848347068
1.0,1.0,25.0,100.0,200.0,-2.0,1.0,1.8926303395897224
1.0,1.0,25.0,100.0,200.0,-3.0,1.0,1.8952724465730257
1.0,1.0,25.0,100.0,200.0,-4.0,1.0,1.8979920228568978
1.0,1.0,25.0,100.0,200.0,-5.0,1.0,1.9007919162005862
1.0,1.0,25.0,100.0,200.0,-6.0,1.0,1.9036751131057292
1.0,1.0,25.0,100.0,200.0,-7.0,1.0,1.9066447474838628
1.0,1.0,25.0,100.0,200.0,-8.0,1.0,1.9097041099915266
1.0,1.0,27.0,100.0,200.0,0.0,1.0,1.8973193138358977
1.0,1.0,27.0,100.0,200.0,-1.0,1.0,1.899854363302677
1.0,1.0,27.0,100.0,200.0,-2.0,1.0,1.9024529493236224
1.0,1.0,27.0,100.0,200.0,-3.0,1.0,1.9051170392825836
1.0,1.0,27.0,100.0,200.0,-4.0,1.0,1.9078486819796319
1.0,1.0,27.0,100.0,200.0,-5.0,1.0,1.9106500120668997
1.0,1.0,27.0,100.0,200.0,-6.0,1.0,1.9135232547917702
1.0,1.0,27.0,100.0,200.0,-7.0,1.0,1.9164707310736033
1.0,1.0,27.0,100.0,200.0,-8.0,1.0,1.9194948629426904
1.0,1.0,29.0,100.0,200.0,0.0,1.0,1.8723732373068953
1.0,1.0,29.0,100.0,200.0,-1.0,1.0,1.8750219401783492
1.0,1.0,29.0,100.0,200.0,-2.0,1.0,1.8777430456560367
1.0,1.0,29.0,100.0,200.0,-3.0,1.0,1.8805390915646119
1.0,1.0,29.0,100.0,200.0,-4.0,1.0,1.8834127388298774
1.0,1.0,29.0,100.0,200.0,-5.0,1.0,1.886366779438085
1.0,1.0,29.0,100.0,200.0,-6.0,1.0,1.889404145046606
1.0,1.0,29.0,100.0,200.0,-7.0,1.0,1.8925279163106716
1.0,1.0,29.0,100.0,200.0,-8.0,1.0,1.89574133299843
1.0,1.0,31.0,100.0,200.0,0.0,1.0,1.8376513268741084
1.0,1.0,31.0,100.0,200.0,-1.0,1.0,1.8401718852739308
1.0,1.0,31.0,100.0,200.0,-2.0,1.0,1.8427609676484913
1.0,1.0,31.0,100.0,200.0,-3.0,1.0,1.845420879965946
1.0,1.0,31.0,100.0,200.0,-4.0,1.0,1.8481540345968845
1.0,1.0,31.0,100.0,200.0,-5.0,1.0,1.8509629568934347
1.0,1.0,31.0,100.0,200.0,-6.0,1.0,1.8538502922903812
1.0,1.0,31.0,100.0,200.0,-7.0,1.0,1.8568188139794881
1.0,1.0,31.0,100.0,200.0,-8.0,1.0,1.859871431213995
1.0,1.0,34.0,100.0,200.0,0.0,1.0,1.8766554048048165
1.0,1.0,34.0,100.0,200.0,-1.0,1.0,1.880060592080384
1.0,1.0,34.0,100.0,200.0,-2.0,1.0,1.8835586885191118
1.0,1.0,34.0,100.0,200.0,-3.0,1.0,1.8871528924528969
1.0,1.0,34.0,100.0,200.0,-4.0,1.0,1.890846549139009
1.0,1.0,34.0,100.0,200.0,-5.0,1.0,1.894643159462289
1.0,1.0,34.0,100.0,200.0,-6.0,1.0,1.8985463892754706
1.0,1.0,34.0,100.0,200.0,-7.0,1.0,1.9025600794336293
1.0,1.0,34.0,100.0,200.0,-8.0,1.0,1.9066882565846324
1.0,1.0,36.0,100.0,200.0,0.0,1.0,1.9487853810361462
1.0,1.0,36.0,100.0,200.0,-1.0,1.0,1.9554230186732435
1.0,1.0,36.0,100.0,200.0,-2.0,1.0,1.9622971294239075
1.0,1.0,36.0,100.0,200.0,-3.0,1.0,1.9694191767288227
1.0,1.0,36.0,100.0,200.0,-4.0,1.0,1.976801371064394
1.0,1.0,36.0,100.0,200.0,-5.0,1.0,1.984456731803837
1.0,1.0,36.0,100.0,200.0,-6.0,1.0,1.9923991553159135
1.0,1.0,36.0,100.0,200.0,-7.0,1.0,2.000643490045342
1.0,1.0,36.0,100.0,200.0,-8.0,1.0,2.0092056194218793
1.0,1.0,39.0,100.0,200.0,0.0,1.0,1.9515278725459477
1.0,1.0,39.0,100.0,200.0,-1.0,1.0,1.9589779187300438
1.0,1.0,39.0,100.0,200.0,-2.0,1.0,1.9667101370201758
1.0,1.0,39.0,100.0,200.0,-3.0,1.0,1.9747391609505256
1.0,1.0,39.0,100.0,200.0,-4.0,1.0,1.9830806459266819
1.0,1.0,39.0,100.0,200.0,-5.0,1.0,1.9917513598901904
1.0,1.0,39.0,100.0,200.0,-6.0,1.0,2.0007692837691673
1.0,1.0,39.0,100.0,200.0,-7.0,1.0,2.0101537229627406
1.0,1.0,39.0,100.0,200.0,-8.0,1.0,2.01992543129125
1.0,1.0,43.0,100.0,200.0,0.0,1.0,1.9085446284859182
1.0,1.0,43.0,100.0,200.0,-1.0,1.0,1.9154950088685858
1.0,1.0,43.0,100.0,200.0,-2.0,1.0,1.9227192341326529
1.0,1.0,43.0,100.0,200.0,-3.0,1.0,1.930232147295175
1.0,1.0,43.0,100.0,200.0,-4.0,1.0,1.938049676773135
1.0,1.0,43.0,100.0,200.0,-5.0,1.0,1.9461889372541035
1.0,1.0,43.0,100.0,200.0,-6.0,1.0,1.954668341992486
1.0,1.0,43.0,100.0,200.0,-7.0,1.0,1.9635077280668873
1.0,1.0,43.0,100.0,200.0,-8.0,1.0,1.9727284963747527
1.0,1.0,46.0,100.0,200.0,0.0,1.0,1.8785183824379112
1.0,1.0,46.0,100.0,200.0,-1.0,1.0,1.8852160928290185
1.0,1.0,46.0,100.0,200.0,-2.0,1.0,1.892168060356201
1.0,1.0,46.0,100.0,200.0,-3.0,1.0,1.8993877146432696
1.0,1.0,46.0,100.0,200.0,-4.0,1.0,1.906889470350814
1.0,1.0,46.0,100.0,200.0,-5.0,1.0,1.914688821209022
1.0,1.0,46.0,100.0,200.0,-6.0,1.0,1.9228024451548753
1.0,1.0,46.0,100.0,200.0,-7.0,1.0,1.9312483221419876
1.0,1.0,46.0,100.0,200.0,-8.0,1.0,1.9400458664504374
1.0,1.0,50.0,100.0,200.0,0.0,1.0,1.9034591665347085
1.0,1.0,50.0,100.0,200.0,-1.0,1.0,1.9105985709989814
1.0,1.0,50.0,100.0,200.0,-2.0,1.0,1.9180013178292021
1.0,1.0,50.0,100.0,200.0,-3.0,1.0,1.925681414814743
1.0,1.0,50.0,100.0,200.0,-4.0,1.0,1.933653954135867
1.0,1.0,50.0,100.0,200.0,-5.0,1.0,1.9419352257909817
1.0,1.0,50.0,100.0,200.0,-6.0,1.0,1.9505428460072336
1.0,1.0,50.0,100.0,200.0,-7.0,1.0,1.9594959030200123
1.0,1.0,50.0,100.0,200.0,-8.0,1.0,1.9688151230510542
1.0,1.0,54.0,100.0,200.0,0.0,1.0,1.9155966150726913
1.0,1.0,54.0,100.0,200.0,-1.0,1.0,1.924209151310507
1.0,1.0,54.0,100.0,200.0,-2.0,1.0,1.9331775718127162
1.0,1.0,54.0,100.0,200.0,-3.0,1.0,1.9425234009593477
1.0,1.0,54.0,100.0,200.0,-4.0,1.0,1.9522700230742462
1.0,1.0,54.0,100.0,200.0,-5.0,1.0,1.9624428937948941
1.0,1.0,54.0,100.0,200.0,-6.0,1.0,1.9730697811349622
1.0,1.0,54.0,100.0,200.0,-7.0,1.0,1.9841810411990097
1.0,1.0,54.0,100.0,200.0,-8.0,1.0,1.9958099344694944
1.0,1.0,58.0,100.0,200.0,0.0,1.0,1.8115845434007558
1.0,1.0,58.0,100.0,200.0,-1.0,1.0,1.8192738558416746
1.0,1.0,58.0,100.0,200.0,-2.0,1.0,1.8273069193798488
1.0,1.0,58.0,100.0,200.0,-3.0,1.0,1.83570584239416
1.0,1.0,58.0,100.0,200.0,-4.0,1.0,1.8444947498856177
1.0,1.0,58.0,100.0,200.0,-5.0,1.0,1.8537000232791747
1.0,1.0,58.0,100.0,200.0,-6.0,1.0,1.8633505752469794
1.0,1.0,58.0,100.0,200.0,-7.0,1.0,1.8734781656113504
1.0,1.0,58.0,100.0,200.0,-8.0,1.0,1.88411776559952
1.0,1.0,63.0,100.0,200.0,0.0,1.0,1.815135843152562
1.0,1.0,63.0,100.0,200.0,-1.0,1.0,1.823816264554833
1.0,1.0,63.0,100.0,200.0,-2.0,1.0,1.8328744849359864
1.0,1.0,63.0,100.0,200.0,-3.0,1.0,1.8423333037757526
1.0,1.0,63.0,100.0,200.0,-4.0,1.0,1.8522174311668815
1.0,1.0,63.0,100.0,200.0,-5.0,1.0,1.8625536969984626
1.0,1.0,63.0,100.0,200.0,-6.0,1.0,1.8733712886581904
1.0,1.0,63.0,100.0,200.0,-7.0,1.0,1.8847020219377333
1.0,1.0,63.0,100.0,200.0,-8.0,1.0,1.896580650731321
1.0,1.0,68.0,100.0,200.0,0.0,1.0,1.7903419962211664
1.0,1.0,68.0,100.0,200.0,-1.0,1.0,1.7987430041110481
1.0,1.0,68.0,100.0,200.0,-2.0,1.0,1.80757428336146
1.0,1.0,68.0,100.0,200.0,-3.0,1.0,1.8168673231903012
1.0,1.0,68.0,100.0,200.0,-4.0,1.0,1.8266568021593237
1.0,1.0,68.0,100.0,200.0,-5.0,1.0,1.8369810050694484
1.0,1.0,68.0,100.0,200.0,-6.0,1.0,1.8478823072002029
