λ,μ,p,n,tau,snr,MSE
1.0,1.0,20.0,200.0,0.0,1.0,0.11997301582906568
1.0,1.0,20.0,200.0,0.1,1.0,0.10632057147098588
1.0,1.0,21.0,200.0,0.0,1.0,0.14164017985195132
1.0,1.0,21.0,200.0,0.1,1.0,0.11499298881721044
1.0,1.0,23.0,200.0,0.0,1.0,0.13969827520115677
1.0,1.0,23.0,200.0,0.1,1.0,0.11450189736583694
1.0,1.0,25.0,200.0,0.0,1.0,0.15145452276625557
1.0,1.0,25.0,200.0,0.1,1.0,0.11919463166357014
1.0,1.0,27.0,200.0,0.0,1.0,0.1541452804556684
1.0,1.0,27.0,200.0,0.1,1.0,0.12043604420491268
1.0,1.0,29.0,200.0,0.0,1.0,0.15590513815510185
1.0,1.0,29.0,200.0,0.1,1.0,0.12405090455677811
1.0,1.0,31.0,200.0,0.0,1.0,0.1567747012573468
1.0,1.0,31.0,200.0,0.1,1.0,0.1239492107520242
1.0,1.0,34.0,200.0,0.0,1.0,0.1567424256991416
1.0,1.0,34.0,200.0,0.1,1.0,0.12121079170836449
1.0,1.0,36.0,200.0,0.0,1.0,0.1644689121365442
1.0,1.0,36.0,200.0,0.1,1.0,0.1276205304687055
1.0,1.0,39.0,200.0,0.0,1.0,0.1839012220428103
1.0,1.0,39.0,200.0,0.1,1.0,0.1456420401808551
1.0,1.0,43.0,200.0,0.0,1.0,0.1878411997178846
1.0,1.0,43.0,200.0,0.1,1.0,0.15555365035698115
1.0,1.0,46.0,200.0,0.0,1.0,0.20569563338378738
1.0,1.0,46.0,200.0,0.1,1.0,0.16431500329806842
1.0,1.0,50.0,200.0,0.0,1.0,0.21338360616213894
1.0,1.0,50.0,200.0,0.5061224489795918,1.0,0.1829830372853045
1.0,1.0,54.0,200.0,0.0,1.0,0.27885416723565687
1.0,1.0,54.0,200.0,0.5061224489795918,1.0,0.20725052317032333
1.0,1.0,58.0,200.0,0.0,1.0,0.48736717840774635
1.0,1.0,58.0,200.0,0.1,1.0,0.3380777126593718
1.0,1.0,63.0,200.0,0.0,1.0,0.6881088947250289
1.0,1.0,63.0,200.0,0.1,1.0,0.4510568807230289
1.0,1.0,68.0,200.0,0.0,1.0,0.724969057217691
1.0,1.0,68.0,200.0,0.1,1.0,0.4717786208568211
1.0,1.0,73.0,200.0,0.0,1.0,0.7714619253734478
1.0,1.0,73.0,200.0,0.1,1.0,0.5082015880477078
1.0,1.0,79.0,200.0,0.0,1.0,0.9306849804542233
1.0,1.0,79.0,200.0,0.5061224489795918,1.0,0.33734428861236426
1.0,1.0,85.0,200.0,0.0,1.0,1.1185081441101297
1.0,1.0,85.0,200.0,0.5061224489795918,1.0,0.3458749633996581
1.0,1.0,92.0,200.0,0.0,1.0,1.225617348432957
1.0,1.0,92.0,200.0,0.5061224489795918,1.0,0.34870755107907153
1.0,1.0,100.0,200.0,0.0,1.0,1.3099963258498986
1.0,1.0,100.0,200.0,0.5061224489795918,1.0,0.3687552249238697
1.0,1.0,108.0,200.0,0.0,1.0,1.530711544096684
1.0,1.0,108.0,200.0,0.5061224489795918,1.0,0.4179407469405478
1.0,1.0,116.0,200.0,0.0,1.0,1.9618601201164645
1.0,1.0,116.0,200.0,0.5061224489795918,1.0,0.4525162123464268
1.0,1.0,126.0,200.0,0.0,1.0,2.2502096382591548
1.0,1.0,126.0,200.0,0.5061224489795918,1.0,0.5022073552975805
1.0,1.0,136.0,200.0,0.0,1.0,2.3320283661938657
1.0,1.0,136.0,200.0,0.5061224489795918,1.0,0.5085221146355536
1.0,1.0,147.0,200.0,0.0,1.0,3.458412839550081
1.0,1.0,147.0,200.0,0.5061224489795918,1.0,0.5747450892273434
1.0,1.0,158.0,200.0,0.0,1.0,3.9004741224793587
1.0,1.0,158.0,200.0,0.5061224489795918,1.0,0.5744524592412794
1.0,1.0,171.0,200.0,0.0,1.0,6.065054546563572
1.0,1.0,171.0,200.0,0.9122448979591836,1.0,0.600181568456432
1.0,1.0,185.0,200.0,0.0,1.0,10.81209239609908
1.0,1.0,185.0,200.0,0.9122448979591836,1.0,0.6062124416228789
1.0,1.0,200.0,200.0,0.0,1.0,10940.364896991641
1.0,1.0,200.0,200.0,1.3183673469387756,1.0,0.6379911074340491
1.0,1.0,216.0,200.0,0.0,1.0,14.71441661403386
1.0,1.0,216.0,200.0,1.7244897959183674,1.0,0.6839345055793892
1.0,1.0,234.0,200.0,0.0,1.0,7.91476966418198
1.0,1.0,234.0,200.0,1.7244897959183674,1.0,0.6881757758556528
1.0,1.0,254.0,200.0,0.0,1.0,4.331699368244033
1.0,1.0,254.0,200.0,1.7244897959183674,1.0,0.7021335345971528
1.0,1.0,275.0,200.0,0.0,1.0,2.7467509651150706
1.0,1.0,275.0,200.0,1.3183673469387756,1.0,0.7058763606380593
1.0,1.0,297.0,200.0,0.0,1.0,2.142660339985183
1.0,1.0,297.0,200.0,0.9122448979591836,1.0,0.7621389580706287
1.0,1.0,322.0,200.0,0.0,1.0,1.9907258054981998
1.0,1.0,322.0,200.0,1.3183673469387756,1.0,0.773445006256393
1.0,1.0,348.0,200.0,0.0,1.0,1.8826568800572372
1.0,1.0,348.0,200.0,1.7244897959183674,1.0,0.7846962769457257
1.0,1.0,377.0,200.0,0.0,1.0,1.7112691391284789
1.0,1.0,377.0,200.0,1.7244897959183674,1.0,0.7809160433787373
1.0,1.0,408.0,200.0,0.0,1.0,1.5480184273948396
1.0,1.0,408.0,200.0,1.7244897959183674,1.0,0.7964054926294317
1.0,1.0,442.0,200.0,0.0,1.0,1.4521442270808413
1.0,1.0,442.0,200.0,1.7244897959183674,1.0,0.7952557539428745
1.0,1.0,479.0,200.0,0.0,1.0,1.403553784804904
1.0,1.0,479.0,200.0,2.1306122448979594,1.0,0.8033937729967523
1.0,1.0,518.0,200.0,0.0,1.0,1.3147300212071855
1.0,1.0,518.0,200.0,2.9428571428571426,1.0,0.8053292305280744
1.0,1.0,561.0,200.0,0.0,1.0,1.2504913532355963
1.0,1.0,561.0,200.0,2.9428571428571426,1.0,0.8283304412306619
1.0,1.0,608.0,200.0,0.0,1.0,1.2112830495629276
1.0,1.0,608.0,200.0,2.9428571428571426,1.0,0.8525152429633989
1.0,1.0,658.0,200.0,0.0,1.0,1.1792963662528306
1.0,1.0,658.0,200.0,3.3489795918367347,1.0,0.8598731912495375
1.0,1.0,712.0,200.0,0.0,1.0,1.1665725986581361
1.0,1.0,712.0,200.0,2.9428571428571426,1.0,0.872591110185519
1.0,1.0,771.0,200.0,0.0,1.0,1.14328844617819
1.0,1.0,771.0,200.0,3.3489795918367347,1.0,0.8844549033618793
1.0,1.0,835.0,200.0,0.0,1.0,1.1209175126819417
1.0,1.0,835.0,200.0,3.7551020408163267,1.0,0.8890029981456541
1.0,1.0,904.0,200.0,0.0,1.0,1.0941545650120599
1.0,1.0,904.0,200.0,4.5673469387755095,1.0,0.8919555768923292
1.0,1.0,979.0,200.0,0.0,1.0,1.0859737917452381
1.0,1.0,979.0,200.0,4.5673469387755095,1.0,0.9106091977506093
1.0,1.0,1059.0,200.0,0.0,1.0,1.0694692673542916
1.0,1.0,1059.0,200.0,5.785714285714285,1.0,0.9112484492115643
1.0,1.0,1147.0,200.0,0.0,1.0,1.0671914433437626
1.0,1.0,1147.0,200.0,4.5673469387755095,1.0,0.9250136270532173
1.0,1.0,1242.0,200.0,0.0,1.0,1.0420929265329448
1.0,1.0,1242.0,200.0,3.7551020408163267,1.0,0.9294389838572898
1.0,1.0,1344.0,200.0,0.0,1.0,1.0288303822486484
1.0,1.0,1344.0,200.0,2.9428571428571426,1.0,0.9369801522091668
1.0,1.0,1455.0,200.0,0.0,1.0,1.0228222480996239
1.0,1.0,1455.0,200.0,0.5061224489795918,1.0,0.9976269992798179
1.0,1.0,1576.0,200.0,0.0,1.0,1.0230946307980824
1.0,1.0,1576.0,200.0,3.7551020408163267,1.0,0.948804224471632
1.0,1.0,1706.0,200.0,0.0,1.0,1.020711796015559
1.0,1.0,1706.0,200.0,7.410204081632653,1.0,0.9429689740661567
1.0,1.0,1847.0,200.0,0.0,1.0,1.0191045691662624
1.0,1.0,1847.0,200.0,14.720408163265306,1.0,0.9511196959363906
1.0,1.0,2000.0,200.0,0.0,1.0,1.018826617883078
1.0,1.0,2000.0,200.0,4.161224489795918,1.0,0.9634482034124395
1.0,1.0,20.0,200.0,0.0,2.333333333333333,0.11997301582906561
1.0,1.0,20.0,200.0,0.1,2.333333333333333,0.12009039640827737
1.0,1.0,21.0,200.0,0.0,2.333333333333333,0.1416401798519515
1.0,1.0,21.0,200.0,0.1,2.333333333333333,0.12526139175797765
1.0,1.0,23.0,200.0,0.0,2.333333333333333,0.13969827520115677
1.0,1.0,23.0,200.0,0.1,2.333333333333333,0.12479692676632582
1.0,1.0,25.0,200.0,0.0,2.333333333333333,0.15145452276625535
1.0,1.0,25.0,200.0,0.1,2.333333333333333,0.12733337643484977
1.0,1.0,27.0,200.0,0.0,2.333333333333333,0.15414528045566853
1.0,1.0,27.0,200.0,0.1,2.333333333333333,0.1277776869935616
1.0,1.0,29.0,200.0,0.0,2.333333333333333,0.1559051381551018
1.0,1.0,29.0,200.0,0.1,2.333333333333333,0.13205860707129544
1.0,1.0,31.0,200.0,0.0,2.333333333333333,0.156774701257347
1.0,1.0,31.0,200.0,0.1,2.333333333333333,0.13126842367642402
1.0,1.0,34.0,200.0,0.0,2.333333333333333,0.1567424256991416
1.0,1.0,34.0,200.0,0.1,2.333333333333333,0.12746032454656794
1.0,1.0,36.0,200.0,0.0,2.333333333333333,0.16446891213654447
1.0,1.0,36.0,200.0,0.1,2.333333333333333,0.13497404029262494
1.0,1.0,39.0,200.0,0.0,2.333333333333333,0.1839012220428104
1.0,1.0,39.0,200.0,0.1,2.333333333333333,0.15529541693724264
1.0,1.0,43.0,200.0,0.0,2.333333333333333,0.1878411997178846
1.0,1.0,43.0,200.0,0.1,2.333333333333333,0.16841347671146392
1.0,1.0,46.0,200.0,0.0,2.333333333333333,0.2056956333837872
1.0,1.0,46.0,200.0,0.1,2.333333333333333,0.1751546332282392
1.0,1.0,50.0,200.0,0.0,2.333333333333333,0.21338360616213908
1.0,1.0,50.0,200.0,0.1,2.333333333333333,0.1807636702386789
1.0,1.0,54.0,200.0,0.0,2.333333333333333,0.2788541672356567
1.0,1.0,54.0,200.0,0.1,2.333333333333333,0.23153976281345748
1.0,1.0,58.0,200.0,0.0,2.333333333333333,0.48736717840774635
1.0,1.0,58.0,200.0,0.1,2.333333333333333,0.34069686294156565
1.0,1.0,63.0,200.0,0.0,2.333333333333333,0.6881088947250289
1.0,1.0,63.0,200.0,0.1,2.333333333333333,0.4513328602186495
1.0,1.0,68.0,200.0,0.0,2.333333333333333,0.7249690572176902
1.0,1.0,68.0,200.0,0.1,2.333333333333333,0.4755935625743532
1.0,1.0,73.0,200.0,0.0,2.333333333333333,0.7714619253734484
1.0,1.0,73.0,200.0,0.1,2.333333333333333,0.5155407416365116
1.0,1.0,79.0,200.0,0.0,2.333333333333333,0.930684980454223
1.0,1.0,79.0,200.0,0.1,2.333333333333333,0.5902135741121751
1.0,1.0,85.0,200.0,0.0,2.333333333333333,1.1185081441101294
1.0,1.0,85.0,200.0,0.1,2.333333333333333,0.6514653382428555
1.0,1.0,92.0,200.0,0.0,2.333333333333333,1.225617348432957
1.0,1.0,92.0,200.0,0.1,2.333333333333333,0.6803981727127905
1.0,1.0,100.0,200.0,0.0,2.333333333333333,1.3099963258498988
1.0,1.0,100.0,200.0,0.1,2.333333333333333,0.7116129705778218
1.0,1.0,108.0,200.0,0.0,2.333333333333333,1.5307115440966843
1.0,1.0,108.0,200.0,0.1,2.333333333333333,0.8086952294468452
1.0,1.0,116.0,200.0,0.0,2.333333333333333,1.961860120116465
1.0,1.0,116.0,200.0,0.1,2.333333333333333,0.9153776898949156
1.0,1.0,126.0,200.0,0.0,2.333333333333333,2.250209638259154
1.0,1.0,126.0,200.0,0.5061224489795918,2.333333333333333,0.8105401980697535
1.0,1.0,136.0,200.0,0.0,2.333333333333333,2.3320283661938634
1.0,1.0,136.0,200.0,0.5061224489795918,2.333333333333333,0.8238647928573007
1.0,1.0,147.0,200.0,0.0,2.333333333333333,3.458412839550081
1.0,1.0,147.0,200.0,0.1,2.333333333333333,1.2992196394968425
1.0,1.0,158.0,200.0,0.0,2.333333333333333,3.900474122479352
1.0,1.0,158.0,200.0,0.5061224489795918,2.333333333333333,0.9245350958624841
1.0,1.0,171.0,200.0,0.0,2.333333333333333,6.065054546563566
1.0,1.0,171.0,200.0,0.5061224489795918,2.333333333333333,1.043047771042388
1.0,1.0,185.0,200.0,0.0,2.333333333333333,10.812092396099032
1.0,1.0,185.0,200.0,0.5061224489795918,2.333333333333333,1.0705280273325495
1.0,1.0,200.0,200.0,0.0,2.333333333333333,10940.36489693981
1.0,1.0,200.0,200.0,0.5061224489795918,2.333333333333333,1.1305447009485545
1.0,1.0,216.0,200.0,0.0,2.333333333333333,14.81180829303794
1.0,1.0,216.0,200.0,0.5061224489795918,2.333333333333333,1.2122166943988222
1.0,1.0,234.0,200.0,0.0,2.333333333333333,8.14150904718187
1.0,1.0,234.0,200.0,0.9122448979591836,2.333333333333333,1.3113097576369048
1.0,1.0,254.0,200.0,0.0,2.333333333333333,4.648858606145567
1.0,1.0,254.0,200.0,0.9122448979591836,2.333333333333333,1.3681688455964063
1.0,1.0,275.0,200.0,0.0,2.333333333333333,3.112580854671324
1.0,1.0,275.0,200.0,0.5061224489795918,2.333333333333333,1.371263709371797
1.0,1.0,297.0,200.0,0.0,2.333333333333333,2.5772502897869853
1.0,1.0,297.0,200.0,0.5061224489795918,2.333333333333333,1.4664661842743343
1.0,1.0,322.0,200.0,0.0,2.333333333333333,2.481562325305248
1.0,1.0,322.0,200.0,0.9122448979591836,2.333333333333333,1.5402246026725404
1.0,1.0,348.0,200.0,0.0,2.333333333333333,2.453664307758311
1.0,1.0,348.0,200.0,0.9122448979591836,2.333333333333333,1.598362274615269
1.0,1.0,377.0,200.0,0.0,2.333333333333333,2.3127825926625394
1.0,1.0,377.0,200.0,0.9122448979591836,2.333333333333333,1.5999838198944272
1.0,1.0,408.0,200.0,0.0,2.333333333333333,2.192255259867218
1.0,1.0,408.0,200.0,0.9122448979591836,2.333333333333333,1.6355438527467392
1.0,1.0,442.0,200.0,0.0,2.333333333333333,2.118091306333383
1.0,1.0,442.0,200.0,0.9122448979591836,2.333333333333333,1.6408968345010682
1.0,1.0,479.0,200.0,0.0,2.333333333333333,2.116891676866635
1.0,1.0,479.0,200.0,0.9122448979591836,2.333333333333333,1.6837030705120246
1.0,1.0,518.0,200.0,0.0,2.333333333333333,2.0742461046366114
1.0,1.0,518.0,200.0,1.3183673469387756,2.333333333333333,1.6988688273243058
1.0,1.0,561.0,200.0,0.0,2.333333333333333,2.070642862988625
1.0,1.0,561.0,200.0,1.3183673469387756,2.333333333333333,1.767356093649605
1.0,1.0,608.0,200.0,0.0,2.333333333333333,2.1118780792343483
1.0,1.0,608.0,200.0,1.3183673469387756,2.333333333333333,1.8484927721773219
1.0,1.0,658.0,200.0,0.0,2.333333333333333,2.1141663070667915
1.0,1.0,658.0,200.0,1.7244897959183674,2.333333333333333,1.8779377648771889
1.0,1.0,712.0,200.0,0.0,2.333333333333333,2.1322814061203217
1.0,1.0,712.0,200.0,1.3183673469387756,2.333333333333333,1.9172236916683152
1.0,1.0,771.0,200.0,0.0,2.333333333333333,2.14142396774058
1.0,1.0,771.0,200.0,1.3183673469387756,2.333333333333333,1.9556241834719448
1.0,1.0,835.0,200.0,0.0,2.333333333333333,2.138599473564153
1.0,1.0,835.0,200.0,1.3183673469387756,2.333333333333333,1.9758567767270054
1.0,1.0,904.0,200.0,0.0,2.333333333333333,2.1266801444171133
1.0,1.0,904.0,200.0,1.7244897959183674,2.333333333333333,1.9802869701062578
1.0,1.0,979.0,200.0,0.0,2.333333333333333,2.1536953735981506
1.0,1.0,979.0,200.0,2.1306122448979594,2.333333333333333,2.029649558443691
1.0,1.0,1059.0,200.0,0.0,2.333333333333333,2.1464536635486895
1.0,1.0,1059.0,200.0,2.536734693877551,2.333333333333333,2.0357316813593007
1.0,1.0,1147.0,200.0,0.0,2.333333333333333,2.169658437602452
1.0,1.0,1147.0,200.0,1.7244897959183674,2.333333333333333,2.07603582714553
1.0,1.0,1242.0,200.0,0.0,2.333333333333333,2.1480671981838797
1.0,1.0,1242.0,200.0,0.9122448979591836,2.333333333333333,2.093626031254909
1.0,1.0,1344.0,200.0,0.0,2.333333333333333,2.1440040239608398
1.0,1.0,1344.0,200.0,0.1,2.333333333333333,2.136898939371643
1.0,1.0,1455.0,200.0,0.0,2.333333333333333,2.1532140874765924
1.0,1.0,1455.0,200.0,0.1,2.333333333333333,2.1478855402828283
1.0,1.0,1576.0,200.0,0.0,2.333333333333333,2.179470132126083
1.0,1.0,1576.0,200.0,0.9122448979591836,2.333333333333333,2.148723695223673
1.0,1.0,1706.0,200.0,0.0,2.333333333333333,2.1868018453447067
1.0,1.0,1706.0,200.0,2.9428571428571426,2.333333333333333,2.1398099041772802
1.0,1.0,1847.0,200.0,0.0,2.333333333333333,2.1981971362772392
1.0,1.0,1847.0,200.0,6.597959183673469,2.333333333333333,2.160850107472061
1.0,1.0,2000.0,200.0,0.0,2.333333333333333,2.2115126233025637
1.0,1.0,2000.0,200.0,0.9122448979591836,2.333333333333333,2.191830456940027
1.0,1.0,20.0,200.0,0.0,3.6666666666666665,0.11997301582906553
1.0,1.0,20.0,200.0,0.1,3.6666666666666665,0.13381738508618465
1.0,1.0,21.0,200.0,0.0,3.6666666666666665,0.1416401798519516
1.0,1.0,21.0,200.0,0.1,3.6666666666666665,0.13658159635583778
1.0,1.0,23.0,200.0,0.0,3.6666666666666665,0.13969827520115674
1.0,1.0,23.0,200.0,0.1,3.6666666666666665,0.1361730654263134
1.0,1.0,25.0,200.0,0.0,3.6666666666666665,0.1514545227662552
1.0,1.0,25.0,200.0,0.1,3.6666666666666665,0.13704352837365688
1.0,1.0,27.0,200.0,0.0,3.6666666666666665,0.15414528045566872
1.0,1.0,27.0,200.0,0.1,3.6666666666666665,0.13689474479544284
1.0,1.0,29.0,200.0,0.0,3.6666666666666665,0.15590513815510168
1.0,1.0,29.0,200.0,0.1,3.6666666666666665,0.14171199467617301
1.0,1.0,31.0,200.0,0.0,3.6666666666666665,0.15677470125734724
1.0,1.0,31.0,200.0,0.1,3.6666666666666665,0.14026385944582107
1.0,1.0,34.0,200.0,0.0,3.6666666666666665,0.15674242569914154
1.0,1.0,34.0,200.0,0.1,3.6666666666666665,0.1357802567440694
1.0,1.0,36.0,200.0,0.0,3.6666666666666665,0.16446891213654463
1.0,1.0,36.0,200.0,0.1,3.6666666666666665,0.1445750518009715
1.0,1.0,39.0,200.0,0.0,3.6666666666666665,0.1839012220428105
1.0,1.0,39.0,200.0,0.1,3.6666666666666665,0.16660577165167378
1.0,1.0,43.0,200.0,0.0,3.6666666666666665,0.18784119971788468
1.0,1.0,43.0,200.0,0.1,3.6666666666666665,0.18270012745890396
1.0,1.0,46.0,200.0,0.0,3.6666666666666665,0.20569563338378713
1.0,1.0,46.0,200.0,0.1,3.6666666666666665,0.18790236468600005
1.0,1.0,50.0,200.0,0.0,3.6666666666666665,0.21338360616213917
1.0,1.0,50.0,200.0,0.1,3.6666666666666665,0.1931009737663879
1.0,1.0,54.0,200.0,0.0,3.6666666666666665,0.2788541672356566
1.0,1.0,54.0,200.0,0.1,3.6666666666666665,0.24519064945466013
1.0,1.0,58.0,200.0,0.0,3.6666666666666665,0.4873671784077465
1.0,1.0,58.0,200.0,0.1,3.6666666666666665,0.34735798705912
1.0,1.0,63.0,200.0,0.0,3.6666666666666665,0.6881088947250287
1.0,1.0,63.0,200.0,0.1,3.6666666666666665,0.4568665378985921
1.0,1.0,68.0,200.0,0.0,3.6666666666666665,0.7249690572176894
1.0,1.0,68.0,200.0,0.1,3.6666666666666665,0.4848596281134314
1.0,1.0,73.0,200.0,0.0,3.6666666666666665,0.7714619253734488
1.0,1.0,73.0,200.0,0.1,3.6666666666666665,0.5275185607912836
1.0,1.0,79.0,200.0,0.0,3.6666666666666665,0.9306849804542224
1.0,1.0,79.0,200.0,0.1,3.6666666666666665,0.6071218935185856
1.0,1.0,85.0,200.0,0.0,3.6666666666666665,1.1185081441101292
1.0,1.0,85.0,200.0,0.1,3.6666666666666665,0.6671471879497803
1.0,1.0,92.0,200.0,0.0,3.6666666666666665,1.2256173484329573
