"lambda","mu","p","n","snr","MSE"
1,1,27,200,5,0.218884479040806
1,200,1847,200,1,0.923521929833012
1,500,90,200,3.66666666666667,0.726494056501201
1,500,561,200,1,1.12572057872372
1,100,114,200,5,1.62777844615219
1,500,114,200,1,1.6281966123806
1,500,21,200,5,0.183582176072347
1,1,479,200,1,1.26690363770976
1,500,51,200,2.33333333333333,0.294601594600035
1,200,442,200,1,1.36231096802394
1,200,1706,200,1,1.05785701048812
1,100,1706,200,2.33333333333333,2.32908612103249
1,1,34,200,2.33333333333333,0.157752070505551
1,500,25,200,2.33333333333333,0.152500375863177
1,1,1147,200,2.33333333333333,1.89567039252252
1,200,979,200,1,1.00793122252607
1,1,71,200,5,0.348542708205746
1,200,234,200,1,7.70300298511501
1,100,105,200,5,1.15984381217782
1,1,348,200,1,1.33607972645227
1,500,216,200,5,8.51563640521111
1,1,979,200,1,1.01805147257243
1,200,348,200,2.33333333333333,1.77118958564714
1,100,2000,200,5,5.60617088303531
1,100,124,200,3.66666666666667,1.51608322435224
1,1,835,200,3.66666666666667,3.06862193308723
1,1,771,200,2.33333333333333,1.90095197751824
1,500,904,200,5,4.394647926255
1,500,1706,200,5,4.875399890797
1,1,442,200,5,3.51444532840686
1,200,157,200,2.33333333333333,4.41155296123221
1,1,442,200,1,1.37596061623772
1,100,56,200,1,0.447298544774414
1,500,97,200,2.33333333333333,0.941233449409406
1,1,1706,200,5,4.88792017887899
1,100,979,200,5,4.32692076845786
1,100,518,200,1,1.01716699996469
1,200,51,200,5,0.294608464265665
1,100,170,200,5,5.97534580580367
1,500,1242,200,1,1.03607615635224
1,1,29,200,3.66666666666667,0.12436956468227
1,1,145,200,5,3.29742968424383
1,500,835,200,1,1.07583330401064
1,100,23,200,5,0.162341723262919
1,100,297,200,1,2.33901279124676
1,200,1455,200,3.66666666666667,3.59058047495849
1,500,60,200,3.66666666666667,0.380883483374389
1,500,518,200,1,1.0166878149232
1,100,184,200,3.66666666666667,10.6772506496913
1,200,199,200,5,77.8467226518464
1,1,254,200,2.33333333333333,3.83598081475503
1,1,234,200,5,8.59111248933256
1,100,348,200,2.33333333333333,1.77098940476975
1,100,56,200,3.66666666666667,0.447298544774395
1,500,322,200,3.66666666666667,2.71903649004696
1,500,234,200,2.33333333333333,8.00919433901685
