λ,μ,p,n,MSE
1.0,1.0,100,200,5,2.7181351408292085
1.0,1.0,147,200,5,29.0305447025216
1.0,1.0,194,200,5,9.147953234441298
1.0,1.0,242,200,5,10.111012685634684
1.0,1.0,289,200,5,18.094450919764842
1.0,1.0,336,200,5,18.956526368323782
1.0,1.0,384,200,5,22.856474593450002
1.0,1.0,431,200,5,17.733372006859593
1.0,1.0,478,200,5,10.468190634304735
1.0,1.0,526,200,5,23.635767768482488
1.0,1.0,573,200,5,24.860749247314857
1.0,1.0,621,200,5,19.66838128194307
1.0,1.0,668,200,5,17.417363309709078
1.0,1.0,715,200,5,19.136635013832635
1.0,1.0,763,200,5,20.03193570880628
1.0,1.0,810,200,5,16.591002665513216
1.0,1.0,857,200,5,28.650911363787692
1.0,1.0,905,200,5,19.673443921574574
1.0,1.0,952,200,5,19.413120177903284
1.0,1.0,1000,200,5,18.139133329934854
6.2105263157894735,1.0,100,200,5,2.718135140829188
6.2105263157894735,1.0,147,200,5,29.176367112504668
6.2105263157894735,1.0,194,200,5,9.292414428723959
6.2105263157894735,1.0,242,200,5,10.213208128811068
6.2105263157894735,1.0,289,200,5,16.907511709529874
6.2105263157894735,1.0,336,200,5,9.462235964378463
6.2105263157894735,1.0,384,200,5,12.684475283017974
6.2105263157894735,1.0,431,200,5,23.521972027480288
6.2105263157894735,1.0,478,200,5,17.45247093511131
6.2105263157894735,1.0,526,200,5,22.43516811679511
6.2105263157894735,1.0,573,200,5,17.32175694978009
6.2105263157894735,1.0,621,200,5,13.097042378237857
6.2105263157894735,1.0,668,200,5,22.367862220718752
6.2105263157894735,1.0,715,200,5,20.417564323706422
6.2105263157894735,1.0,763,200,5,26.138179149335134
6.2105263157894735,1.0,810,200,5,18.152157237531373
6.2105263157894735,1.0,857,200,5,16.99533501170235
6.2105263157894735,1.0,905,200,5,20.44400824198617
6.2105263157894735,1.0,952,200,5,17.52327113885394
6.2105263157894735,1.0,1000,200,5,19.346593902403804
11.421052631578947,1.0,100,200,5,2.8984958829317105
11.421052631578947,1.0,147,200,5,15.982279859573215
11.421052631578947,1.0,194,200,5,16.006373957271773
11.421052631578947,1.0,242,200,5,15.126536588654012
11.421052631578947,1.0,289,200,5,20.179530580370503
11.421052631578947,1.0,336,200,5,18.479333696224803
11.421052631578947,1.0,384,200,5,17.815029840306455
11.421052631578947,1.0,431,200,5,14.618941393978856
11.421052631578947,1.0,478,200,5,19.3284064386137
11.421052631578947,1.0,526,200,5,18.912293272470986
11.421052631578947,1.0,573,200,5,19.281585938239598
11.421052631578947,1.0,621,200,5,21.36977933785639
11.421052631578947,1.0,668,200,5,18.370872380052358
11.421052631578947,1.0,715,200,5,18.5773587129982
11.421052631578947,1.0,763,200,5,25.540018238824832
11.421052631578947,1.0,810,200,5,26.30874654487089
11.421052631578947,1.0,857,200,5,23.68359280285242
11.421052631578947,1.0,905,200,5,22.006206316255014
11.421052631578947,1.0,952,200,5,19.693200411126973
11.421052631578947,1.0,1000,200,5,21.83887877207312
16.63157894736842,1.0,100,200,5,3.01970539440817
16.63157894736842,1.0,147,200,5,32.568272160239225
16.63157894736842,1.0,194,200,5,7.0447874255096705
16.63157894736842,1.0,242,200,5,10.395719238455818
16.63157894736842,1.0,289,200,5,10.985002105248237
16.63157894736842,1.0,336,200,5,19.769055600075102
16.63157894736842,1.0,384,200,5,16.203302108391203
16.63157894736842,1.0,431,200,5,10.49148463895084
16.63157894736842,1.0,478,200,5,22.633359699228176
16.63157894736842,1.0,526,200,5,19.43148004755857
16.63157894736842,1.0,573,200,5,17.230197953297306
16.63157894736842,1.0,621,200,5,18.12354840007491
16.63157894736842,1.0,668,200,5,11.306936368311545
16.63157894736842,1.0,715,200,5,14.990122870267022
16.63157894736842,1.0,763,200,5,15.246511888907316
16.63157894736842,1.0,810,200,5,18.356584037023374
16.63157894736842,1.0,857,200,5,17.467455021781102
16.63157894736842,1.0,905,200,5,23.774027936008437
16.63157894736842,1.0,952,200,5,21.892736824920004
16.63157894736842,1.0,1000,200,5,23.335616273329144
21.842105263157894,1.0,100,200,5,2.6202984885931664
21.842105263157894,1.0,147,200,5,11.611444731315173
21.842105263157894,1.0,194,200,5,12.518329904065855
21.842105263157894,1.0,242,200,5,11.506578571062846
21.842105263157894,1.0,289,200,5,22.18913621739919
21.842105263157894,1.0,336,200,5,12.56205346905916
21.842105263157894,1.0,384,200,5,19.393148948093067
21.842105263157894,1.0,431,200,5,21.020003040965825
21.842105263157894,1.0,478,200,5,18.06629337521512
21.842105263157894,1.0,526,200,5,21.115657046772768
21.842105263157894,1.0,573,200,5,23.38248800457114
21.842105263157894,1.0,621,200,5,18.62709286914332
21.842105263157894,1.0,668,200,5,20.193990608182503
21.842105263157894,1.0,715,200,5,18.48394704995034
21.842105263157894,1.0,763,200,5,18.805857013443774
21.842105263157894,1.0,810,200,5,20.19024759787915
21.842105263157894,1.0,857,200,5,21.113861465545984
21.842105263157894,1.0,905,200,5,20.852265797661758
21.842105263157894,1.0,952,200,5,20.670430744759052
21.842105263157894,1.0,1000,200,5,16.462995468456278
27.052631578947366,1.0,100,200,5,4.634415009263658
27.052631578947366,1.0,147,200,5,10.83697285039267
27.052631578947366,1.0,194,200,5,10.792917078130298
27.052631578947366,1.0,242,200,5,13.676346520609226
27.052631578947366,1.0,289,200,5,20.540402208202703
27.052631578947366,1.0,336,200,5,11.735516475445928
27.052631578947366,1.0,384,200,5,13.27565106034755
27.052631578947366,1.0,431,200,5,16.713909241297916
27.052631578947366,1.0,478,200,5,15.53673010458342
27.052631578947366,1.0,526,200,5,13.24066711812758
27.052631578947366,1.0,573,200,5,16.19442015930304
27.052631578947366,1.0,621,200,5,16.700359387220843
27.052631578947366,1.0,668,200,5,18.978494795280906
27.052631578947366,1.0,715,200,5,22.892426969882752
27.052631578947366,1.0,763,200,5,31.679235704535106
27.052631578947366,1.0,810,200,5,21.69979479685039
27.052631578947366,1.0,857,200,5,19.637578917937386
27.052631578947366,1.0,905,200,5,19.793943161092525
27.052631578947366,1.0,952,200,5,34.470039987646196
27.052631578947366,1.0,1000,200,5,29.064541246045376
32.26315789473684,1.0,100,200,5,2.737134457577958
32.26315789473684,1.0,147,200,5,11.14956323241926
32.26315789473684,1.0,194,200,5,8.028668453111425
32.26315789473684,1.0,242,200,5,11.30859880724479
32.26315789473684,1.0,289,200,5,21.783425185913522
32.26315789473684,1.0,336,200,5,15.5809389561629
32.26315789473684,1.0,384,200,5,23.992553813136276
32.26315789473684,1.0,431,200,5,17.429504462407504
32.26315789473684,1.0,478,200,5,17.99605878688921
32.26315789473684,1.0,526,200,5,20.79991187198601
32.26315789473684,1.0,573,200,5,25.727179576411213
32.26315789473684,1.0,621,200,5,22.78257567722785
32.26315789473684,1.0,668,200,5,15.085040825422166
32.26315789473684,1.0,715,200,5,20.119146490873266
32.26315789473684,1.0,763,200,5,21.004369193162294
32.26315789473684,1.0,810,200,5,19.38189538644777
32.26315789473684,1.0,857,200,5,21.906541979299394
32.26315789473684,1.0,905,200,5,30.814889129333906
32.26315789473684,1.0,952,200,5,29.725911576497033
32.26315789473684,1.0,1000,200,5,24.84099469231128
37.473684210526315,1.0,100,200,5,2.846516692747542
37.473684210526315,1.0,147,200,5,36.05866331241513
37.473684210526315,1.0,194,200,5,11.131516769520848
37.473684210526315,1.0,242,200,5,13.423875010983581
37.473684210526315,1.0,289,200,5,13.445246360106072
37.473684210526315,1.0,336,200,5,15.211909711829783
37.473684210526315,1.0,384,200,5,16.594037869604918
37.473684210526315,1.0,431,200,5,15.098482538380672
37.473684210526315,1.0,478,200,5,21.266554901437402
37.473684210526315,1.0,526,200,5,15.823332749531941
37.473684210526315,1.0,573,200,5,14.260043972664109
37.473684210526315,1.0,621,200,5,16.201852575348354
37.473684210526315,1.0,668,200,5,29.693397996864384
37.473684210526315,1.0,715,200,5,27.621202683422403
37.473684210526315,1.0,763,200,5,20.845403627818506
37.473684210526315,1.0,810,200,5,22.12133367654818
37.473684210526315,1.0,857,200,5,13.365340629680684
37.473684210526315,1.0,905,200,5,26.420000697924984
